Carry,TotalDistance,BallSpeed,BackSpin,SideSpin,HLA,VLA,Decent,DistanceToPin,PeakHeight,Offline,rawSpinAxis,rawCarryGame,rawCarryLM,Club,ClubSpeed,Path,AoA,FaceToTarget,FaceToPath,Lie,Loft,DynamicLoft,CR,HI,VI,SmashFactor
109.2799,122.2418,85.43363,6033.304,-85.78691,-1.72219,22.81415,41.30241,17.02 yds,19.24101,-3.831272,-0.8147101,109.1382,0,I7,77.74768,-0.9153782,0,-1.957155,1.041777,0,0,0,0,0,0,0
84.29367,92.16258,71.87813,7657.97,-400.7715,-5.110873,27.80472,42.74221,47.99 yds,16.87241,-8.858645,-2.999882,84.25714,0,I7,71.21481,-0.9959173,0,-6.070269,5.074351,0,0,0,0,0,0,0
112.6809,122.4538,87.40415,6395.264,461.8207,-0.272035,24.42273,44.5724,16.47 yds,22.14355,2.536201,4.1411,112.5652,0,I7,75.63901,-4.736477,0,0.3903302,-5.126807,0,0,0,0,0,0,0
89.91248,112.8205,92.42037,2602.4,1035.892,5.017118,8.678102,13.47622,34.36 yds,4.544832,14.78011,23.45648,89.33965,0,I7,76.356,-4.902844,0,6.854688,-11.75753,0,0,0,0,0,0,0
92.5022,106.784,76.40961,4759.318,142.9206,-3.966399,22.78349,35.94743,32.66 yds,14.25509,-5.614913,1.72083,92.39254,0,I7,75.37229,-5.352903,0,-4.013289,-1.339614,0,0,0,0,0,0,0
105.4771,114.407,84.08082,7191.455,1530.889,3.906687,26.10088,45.68504,30.89 yds,21.87934,15.48231,12.29095,105.3676,0,I7,76.22649,-10.7784,0,6.397871,-17.17627,0,0,0,0,0,0,0
79.04574,100.976,86.65739,3472.534,1475.4,7.888651,8.539698,13.17835,47 yds,3.934592,17.19832,25.14288,78.44496,0,I7,77.48814,-6.033725,0,10.52276,-16.55648,0,0,0,0,0,0,0
76.73103,97.32344,78.04245,2510.25,1255.125,12.38647,13.82081,18.63706,55.61 yds,5.814988,22.86526,30,76.27877,0,I7,74.79336,-8.305156,0,15,-23.30516,0,0,0,0,0,0,0
75.45798,96.46661,84.22775,3738.858,1292.607,6.089515,8.334805,13.72619,47.39 yds,3.67184,12.89258,20.2259,74.86784,0,I7,76.00717,-6.345624,0,8.380001,-14.72563,0,0,0,0,0,0,0
35.89404,57.27454,77.41542,3543.717,1771.858,6.521545,2,4.908868,82.8 yds,0.6703115,2.684056,30,19.46116,0,I7,78.98988,-10.33517,0,9.513682,-19.84885,0,0,0,0,0,0,0
113.1167,124.208,87.81075,6596.592,390.0132,-4.796074,23.9733,44.38446,16.39 yds,21.96289,-6.903869,3.3895,113.0355,0,I7,72.30801,-8.740031,0,-4.507375,-4.232656,0,0,0,0,0,0,0
109.9953,119.3081,86.05672,6388.592,750.2396,4.330287,27.10163,46.90384,24.92 yds,24.10874,13.14162,6.74405,109.9552,0,I7,68.01774,-3.734925,0,5.84063,-9.575556,0,0,0,0,0,0,0
95.23482,105.0318,77.6021,6226.025,429.4925,-0.8012131,27.97558,44.74174,33.61 yds,19.85975,0.808537,3.9556,95.2011,0,I7,77.44246,-4.856431,0,-0.2356187,-4.620812,0,0,0,0,0,0,0
90.7401430769231,105.496782307692,82.7260992307692,5162.79069230769,773.053783846154,2.26703760769231,18.7961457692308,31.5543244615385,#DIV/0!,13.7661033461538,5.93694576923077,12.0963613769231,89.25422,0,#DIV/0!,75.2002338461539,-5.84869088461539,0,3.54740426923077,-9.39609515384615,0,0,0,0,0,0,0
