Carry,TotalDistance,BallSpeed,BackSpin,SideSpin,HLA,VLA,Decent,DistanceToPin,PeakHeight,Offline,rawSpinAxis,rawCarryGame,rawCarryLM,Club,ClubSpeed,Path,AoA,FaceToTarget,FaceToPath,Lie,Loft,DynamicLoft,CR,HI,VI,SmashFactor
145.1599,152.6294,105.9746,6147.091,281.1043,-3.477792,23.76331,49.6378,18.31 yds,33.20144,-5.663798,2.62103,145.085,0,I7,78.47189,-6.097136,0,-3.305089,-2.792048,0,0,0,0,0,0,0
136.2393,144.661,100.975,6504.428,276.8834,-4.31689,22.8974,47.2817,12.25 yds,28.78926,-7.636955,2.43973,136.142,0,I7,78.36471,-6.900437,0,-4.204241,-2.696196,0,0,0,0,0,0,0
118.2253,131.3905,89.96256,5541.046,-391.5372,-9.65168,21.50315,41.398,26.45 yds,20.10072,-22.84468,-4.051968,118.1791,0,I7,77.4942,-5.957292,0,-10.84248,4.885192,0,0,0,0,0,0,0
48.6944,69.29448,63.73602,2347.962,-128.7929,-10.28339,12.65514,15.04677,68.31 yds,3.085806,-8.912329,-3.144427,48.27432,0,I7,79.12316,-9.093167,0,-11.13384,2.040668,0,0,0,0,0,0,0
122.9132,129.219,95.41908,7653.231,934.2521,1.401038,27.1698,50.54694,12.27 yds,30.60645,9.735868,7.01175,122.9102,0,I7,76.76376,-7.498067,0,2.847801,-10.34587,0,0,0,0,0,0,0
119.5846,128.6123,91.91785,6874.97,1012.367,0.7703818,24.28006,46.53156,12.11 yds,24.68998,8.815008,8.46783,119.4778,0,I7,76.31135,-8.929981,0,2.298163,-11.22814,0,0,0,0,0,0,0
139.4507,146.8284,103.3243,6530.691,644.7997,-0.2923225,24.123,49.73247,13.13 yds,31.90762,5.719123,5.66626,139.4214,0,I7,78.4216,-6.30446,0,0.6044824,-6.908942,0,0,0,0,0,0,0
139.2931,146.959,103.3377,6591.679,874.7679,-0.2946671,23.91032,49.00874,14.46 yds,31.55084,7.909697,7.6261,139.1984,0,I7,78.69447,-8.422732,0,0.9243039,-9.347036,0,0,0,0,0,0,0
107.6367,121.9619,85.21875,4856.96,1209.62,4.158229,20.1285,35.79767,24.45 yds,15.54532,16.287,14.42123,107.4307,0,I7,78.2466,-7.145514,0,6.150701,-13.29622,0,0,0,0,0,0,0
92.50265,107.9067,78.57992,4478.333,-425.253,-10.60248,18.26836,30.20688,37.5 yds,11.0781,-19.26627,-5.448895,92.24091,0,I7,77.82364,-6.606954,0,-11.90103,5.294077,0,0,0,0,0,0,0
144.9149,152.9947,106.0114,6102.569,-7.141517,-6.463737,24.63737,50.60233,24.16 yds,34.47647,-16.39323,-0.06705027,144.91,0,I7,78.20013,-6.396961,0,-6.894506,0.4975457,0,0,0,0,0,0,0
