Carry,TotalDistance,BallSpeed,BackSpin,SideSpin,HLA,VLA,Decent,DistanceToPin,PeakHeight,Offline,rawSpinAxis,rawCarryGame,rawCarryLM,Club,ClubSpeed,Path,AoA,FaceToTarget,FaceToPath,Lie,Loft,DynamicLoft,CR,HI,VI,SmashFactor
111.4018,128.07,87.50108,4059.011,-998.7263,-7.167688,18.20774,32.76149,37.13 yds,14.20253,-22.1509,-14.24399,111.2042,0,I6,75.12562,2.553001,0,-9.114841,11.66784,0,0,0,0,0,0,0
56.20406,75.39502,70.7921,4856.843,-2240.694,-15.25278,10.65839,13.83041,84.81 yds,3.234582,-18.63487,-27.47411,55.63414,0,I6,75.49552,6.449229,0,-15,21.44923,0,0,0,0,0,0,0
151.3475,161.0124,109.5762,6331.01,-289.9994,-4.275558,21.36026,48.35974,18.18 yds,32.17918,-14.64314,-2.62542,151.253,0,I6,81.07344,-1.660043,0,-4.95219,3.292148,0,0,0,0,0,0,0
145.1483,159.1006,103.3909,4625.364,-245.9402,-1.610859,17.8047,39.74238,11.26 yds,22.30628,-7.217798,-3.047973,145.0005,0,I6,74.82355,0.7925624,0,-2.08179,2.874352,0,0,0,0,0,0,0
146.635,158.1062,106.2035,6094.234,-269.3218,-2.337868,19.38696,44.77134,11.88 yds,27.0367,-8.958071,-2.532891,146.6308,0,I6,81.84678,0.06820332,0,-2.85651,2.924713,0,0,0,0,0,0,0
138.095,149.8357,101.9492,6324.86,93.02199,0.6686093,18.17921,41.61654,9.26 ft,22.94909,2.495664,0.8427,137.9597,0,I6,83.39029,-0.1470582,0,0.8363662,-0.9834244,0,0,0,0,0,0,0
111.1365,119.3079,87.396,6638.606,-526.6365,-4.698558,29.22775,50.06337,35.38 yds,27.31414,-12.55111,-4.55002,111.1316,0,I6,78.20032,0.2257035,0,-5.754405,5.980109,0,0,0,0,0,0,0
129.1652,139.4575,97.46367,7006.107,-104.7321,-1.446795,23.24114,47.5035,12.6 yds,27.14397,-4.112425,-0.8565283,129.1148,0,I6,78.89672,-0.4761523,0,-1.688796,1.212644,0,0,0,0,0,0,0
107.8891,123.9356,89.79118,5413.847,857.8418,5.110564,13.19274,27.78612,33.73 yds,10.53201,14.98398,9.11713,107.674,0,I6,80.07374,-2.72292,0,6.636381,-9.359301,0,0,0,0,0,0,0
126.5268,139.6363,96.05565,6294.069,864.0355,4.079836,17.98584,39.01017,22.19 yds,19.29939,15.93149,7.89035,126.4932,0,I6,84.82989,-3.367846,0,5.479815,-8.847662,0,0,0,0,0,0,0
148.5816,157.173,108.6551,6724.064,18.15512,-1.489906,21.5243,48.79061,21.36 ft,31.97644,-3.662684,0.1547,148.4276,0,I6,83.94581,-1.648024,0,-1.562769,-0.08525527,0,0,0,0,0,0,0
116.0185,123.3855,90.65845,7778.811,-820.8624,-9.373713,25.45614,47.56189,39.88 yds,25.56764,-23.91619,-6.05744,115.8706,0,I6,85.33397,-2.339962,0,-11.05511,8.715151,0,0,0,0,0,0,0
135.4314,144.2065,101.0445,6968.869,-425.5027,-6.30383,21.6718,46.25326,21.67 yds,27.32636,-18.5996,-3.500523,135.358,0,I6,81.72611,-2.496854,0,-7.293938,4.797084,0,0,0,0,0,0,0
147.8156,157.5585,107.3655,6377.54,-278.8135,-3.171648,19.81929,45.78373,13.5 yds,28.49869,-11.2217,-2.505658,147.7676,0,I6,84.90051,-0.770371,0,-3.743814,2.973443,0,0,0,0,0,0,0
