Carry,TotalDistance,BallSpeed,BackSpin,SideSpin,HLA,VLA,Decent,DistanceToPin,PeakHeight,Offline,rawSpinAxis,rawCarryGame,rawCarryLM,Club,ClubSpeed,Path,AoA,FaceToTarget,FaceToPath,Lie,Loft,DynamicLoft,CR,HI,VI,SmashFactor
140.1354,148.4554,104.1705,6835.948,382.1432,0.9515668,23.86828,49.65511,15.76 yds,32.29318,6.049816,3.20462,139.9956,0,I8,80.82222,-2.505726,0,1.540134,-4.045859,0,0,0,0,0,0,0
131.0795,136.573,102.5233,7725.277,240.231,-1.984741,29.39099,54.35227,10.92 ft,38.58117,-2.531317,1.782,131.0807,0,I8,81.42847,-4.141968,0,-1.785279,-2.356689,0,0,0,0,0,0,0
107.5438,113.9499,85.7923,8016.482,-1428.722,-11.0579,26.59665,47.54995,38.49 yds,23.70915,-27.9982,-10.26627,107.4602,0,I8,80.73849,1.88125,0,-13.74846,15.62971,0,0,0,0,0,0,0
123.1239,127.4718,96.5465,8460.049,-55.80182,-4.663163,27.26568,52.04408,12.83 yds,31.82263,-10.38827,-0.3779212,123.1228,0,I8,81.4889,-4.16245,0,-5.04287,0.8804197,0,0,0,0,0,0,0
120.2499,126.7063,94.14726,7758.156,-868.6066,-2.684961,28.08029,51.14672,14.76 yds,30.83554,-11.61419,-6.428339,120.2388,0,I8,75.92061,5.680737,0,-4.134016,9.814753,0,0,0,0,0,0,0
144.8346,152.3765,106.5874,6401.103,-113.5821,-3.310109,24.58201,50.71009,20.71 yds,34.87259,-9.595935,-1.016718,144.7446,0,I8,80.06625,-2.272822,0,-3.683508,1.410687,0,0,0,0,0,0,0
142.5081,150.3217,105.9575,6742.917,-439.6602,-3.290344,24.93611,51.15061,20.76 yds,34.9577,-12.67619,-3.738524,142.3992,0,I8,81.26094,0.6658173,0,-4.107089,4.772906,0,0,0,0,0,0,0
129.309,136.4568,98.23378,7448.074,-712.0587,-5.040335,23.8439,48.66334,18.16 yds,28.43797,-16.9371,-5.486031,129.2815,0,I8,80.19912,1.45176,0,-6.35725,7.809011,0,0,0,0,0,0,0
138.0296,144.8032,103.8927,6887.741,-93.16896,0.07542937,26.31874,51.98053,10.84 yds,35.45379,-0.7165442,-0.7750511,137.9147,0,I8,80.69421,0.9196727,0,-0.04826566,0.9679383,0,0,0,0,0,0,0
117.9634,123.5625,93.2689,8375.228,-1230.219,-4.784449,27.82052,51.47563,22.09 yds,29.97873,-17.54969,-8.446614,117.9448,0,I8,77.923,6.759528,0,-6.854264,13.61379,0,0,0,0,0,0,0
106.4115,116.4636,93.425,2884.63,1442.315,11.84937,12.56886,21.15292,45.92 yds,8.31935,34.4799,30,106.1341,0,I8,81.25729,-5.657341,0,15,-20.65734,0,0,0,0,0,0,0
127.4305,134.2182,98.15002,7822.918,134.8168,-2.226153,26.22194,51.15427,12.32 ft,31.53119,-3.927579,0.98746,127.4116,0,I8,80.56523,-3.449736,0,-2.184621,-1.265115,0,0,0,0,0,0,0
