Carry,TotalDistance,BallSpeed,BackSpin,SideSpin,HLA,VLA,Decent,DistanceToPin,PeakHeight,Offline,rawSpinAxis,rawCarryGame,rawCarryLM,Club,ClubSpeed,Path,AoA,FaceToTarget,FaceToPath,Lie,Loft,DynamicLoft,CR,HI,VI,SmashFactor
117.6175,127.0228,90.48859,6545.72,513.61,0.3586622,25.97424,47.21874,28.95 ft,25.77521,4.44073,4.50034,117.4738,0,I7,77.83244,-4.466496,0,1.117015,-5.583511,0,0,0,0,0,0,0
110.88,122.1973,85.96036,5893.224,211.1761,-4.449955,25.48949,45.10492,15.33 yds,22.3123,-7.151269,2.05356,110.776,0,I7,77.98993,-6.429862,0,-4.437917,-1.991945,0,0,0,0,0,0,0
122.3197,132.7531,91.68707,5432.036,59.32235,-3.899636,23.36414,43.386,26.56 ft,23.25528,-7.796869,0.62573,122.1461,0,I7,78.34203,-4.453315,0,-4.069045,-0.3842697,0,0,0,0,0,0,0
82.01214,104.0727,92.21602,3316.088,494.2299,2.640763,5.851805,9.768059,32.54 yds,2.9516,6.092774,8.5713,81.1909,0,I7,77.46103,-2.024582,0,3.523268,-5.54785,0,0,0,0,0,0,0
89.95503,97.34055,78.02071,4722.413,2333.527,14.30773,20.37686,32.54419,58.46 yds,11.78662,33.44932,29.61298,89.77383,0,I7,74.45155,-8.610339,0,15,-23.61034,0,0,0,0,0,0,0
109.6109,119.0209,85.99967,6571.221,628.1511,1.02508,27.39982,47.07684,17.66 yds,24.46151,5.93832,5.48535,109.591,0,I7,70.81202,-5.461219,0,2.079838,-7.541058,0,0,0,0,0,0,0
101.709,113.3176,81.03101,5619.514,-1080.064,-5.626946,26.10751,42.76462,30.08 yds,19.75697,-16.39246,-11.08113,101.6791,0,I7,65.06438,6.510991,0,-7.842062,14.35305,0,0,0,0,0,0,0
125.7785,134.6923,95.01342,6593.83,526.4893,-0.4744611,22.17982,44.82127,10.98 ft,24.13446,3.15301,4.5797,125.7112,0,I7,77.66792,-5.431118,0,0.249711,-5.680829,0,0,0,0,0,0,0
147.648,160.0571,105.0879,5209.988,-111.2498,-7.054398,20.58634,44.65212,31.67 yds,27.71957,-19.48895,-1.22354,147.4714,0,I7,75.42062,-5.97583,0,-7.677729,1.7019,0,0,0,0,0,0,0
119.035,131.0182,88.71497,4302.403,125.8137,-3.06473,23.75171,41.50806,21.07 ft,21.49875,-5.155303,1.67572,118.8814,0,I7,78.0777,-4.242976,0,-3.084671,-1.158304,0,0,0,0,0,0,0
94.06555,106.3771,77.26734,6065.891,326.8976,-1.982812,24.23216,40.24875,28.85 yds,16.2985,-1.676813,3.08923,93.93474,0,I7,75.3358,-5.155665,0,-1.628515,-3.52715,0,0,0,0,0,0,0
122.5367,132.8262,92.42086,5796.521,673.8206,-0.1414846,22.25003,43.16125,19.67 ft,22.37857,5.243356,6.67548,122.4628,0,I7,75.67313,-6.652392,0,0.8411129,-7.493505,0,0,0,0,0,0,0
122.9412,130.6066,93.71001,6760.521,18.63467,-1.983246,25.10892,47.98219,19.09 ft,26.95226,-4.111038,0.15793,122.9227,0,I7,68.58937,-2.181913,0,-2.082033,-0.09988022,0,0,0,0,0,0,0
