Carry,TotalDistance,BallSpeed,BackSpin,SideSpin,HLA,VLA,Decent,DistanceToPin,PeakHeight,Offline,rawSpinAxis,rawCarryGame,rawCarryLM,Club,ClubSpeed,Path,AoA,FaceToTarget,FaceToPath,Lie,Loft,DynamicLoft,CR,HI,VI,SmashFactor
53.11266,74.75022,73.2003,2767.938,1383.969,7.700136,9.36943,11.73306,93.52 yds,2.511844,10.30887,30,52.56391,0,I5,64.50363,-10.89996,0,11.03453,-21.93449,0,0,0,0,0,0,0
100.4534,114.9494,80.28568,4691.561,-386.8758,-12.8455,22.75955,38.02202,61.03 yds,16.03695,-24.72304,-4.730099,100.2971,0,I5,72.79648,-8.959521,0,-14.2733,5.313784,0,0,0,0,0,0,0
77.74094,100.1891,84.27196,2104.793,1052.396,6.123143,10.83982,14.60094,70.16 yds,4.510149,14.439,30,77.30158,0,I5,73.84918,-8.618956,0,8.767237,-17.38619,0,0,0,0,0,0,0
82.76102,86.39259,71.05692,6854.65,-1481.91,-19.30704,28.2315,43.35463,92.16 yds,16.41137,-32.17389,-12.48538,82.58983,0,I5,77.55656,-5.335567,0,-15,9.664433,0,0,0,0,0,0,0
115.6072,129.4196,87.52373,4462.484,-12.2684,-7.235238,22.17537,39.42358,40.34 yds,19.13641,-14.64733,-0.1575196,115.4583,0,I5,75.82159,-7.116924,0,-7.72406,0.6071358,0,0,0,0,0,0,0
109.1394,123.7911,84.29653,4371.861,-617.6378,-9.953617,22.96767,39.86569,52.27 yds,18.11342,-23.65648,-8.121673,109.012,0,I5,77.31821,-4.112569,0,-11.49107,7.378498,0,0,0,0,0,0,0
136.0558,151.31,99.72877,5266.222,191.7982,-4.01942,17.75699,39.24486,16.33 yds,20.65448,-7.538917,2.0872,135.9193,0,I5,77.01773,-5.84033,0,-4.003587,-1.836743,0,0,0,0,0,0,0
111.6825,132.7556,96.14736,3530.819,771.4379,0.9342204,9.859729,19.71165,34.85 yds,7.641385,8.511871,12.62018,111.4072,0,I5,78.33675,-6.266477,0,2.09189,-8.358367,0,0,0,0,0,0,0
130.9733,144.0921,97.65495,6188.313,291.9626,-4.913488,19.67874,42.08809,23.35 yds,22.43839,-8.640806,2.7042,130.83,0,I5,78.74204,-7.62467,0,-4.820218,-2.804451,0,0,0,0,0,0,0
117.5782,133.7073,89.82234,3751.382,850.8576,-0.04441766,18.72,34.02478,33.59 yds,15.64482,8.295351,13.10944,117.4249,0,I5,78.47295,-7.972636,0,1.160394,-9.133031,0,0,0,0,0,0,0
112.2142,119.9182,88.28658,7829.806,-1137.832,-12.12184,23.48483,44.69075,59.3 yds,21.91858,-29.87258,-8.355847,112.0986,0,I5,77.91814,-1.444125,0,-14.53715,13.09302,0,0,0,0,0,0,0
