Carry,TotalDistance,BallSpeed,BackSpin,SideSpin,HLA,VLA,Decent,DistanceToPin,PeakHeight,Offline,rawSpinAxis,rawCarryGame,rawCarryLM,Club,ClubSpeed,Path,AoA,FaceToTarget,FaceToPath,Lie,Loft,DynamicLoft,CR,HI,VI,SmashFactor
121.8051,141.1792,93.36636,2912.012,208.5639,-5.073525,15.44261,28.65612,49.79 yds,12.85849,-8.225737,4.10715,121.5259,0,I3,65.37865,-7.406138,0,-5.048336,-2.357803,0,0,0,0,0,0,0
135.8866,153.5006,99.46342,3696.145,108.4017,-2.403901,15.33724,32.80402,36.69 yds,16.11983,-4.302685,1.68063,135.6084,0,I3,73.56846,-3.481324,0,-2.396201,-1.085123,0,0,0,0,0,0,0
74.03191,97.23107,100.3065,3127.627,1563.814,2.61176,2.222937,6.734339,94.72 yds,1.707904,5.202003,30,51.17987,0,I3,79.82214,-14.27944,0,5.354739,-19.63418,0,0,0,0,0,0,0
41.53099,63.64144,77.04537,2211.324,1105.662,-1.775409,5.771319,6.838082,126.21 yds,1.125922,0.4935072,30,40.16821,0,I3,83.96761,-11.82273,0,-0.3604314,-11.4623,0,0,0,0,0,0,0
132.2689,143.8221,98.71296,6372.398,-712.5409,-9.893557,19.46406,42.96935,58.91 yds,22.7257,-28.85301,-6.420054,132.1465,0,I3,79.80048,-3.364613,0,-11.53189,8.167274,0,0,0,0,0,0,0
45.24796,50.15784,49.73129,6551.059,913.6628,0.7290915,42.69576,51.23552,139.71 yds,13.23592,1.677197,8.01706,45.21907,0,I3,81.25797,-7.492547,0,2.028933,-9.521479,0,0,0,0,0,0,0
36.73944,61.94632,85.93502,1361.92,680.9602,5.091938,2,4.177701,128.63 yds,0.6471357,1.958429,30,18.82615,0,I3,85.6113,-6.719423,0,7.222494,-13.94192,0,0,0,0,0,0,0
22.36945,41.94437,53.62309,2607.183,0,-17.06638,7.484067,8.234615,150.22 yds,0.7379926,-6.279889,0,21.39805,0,I3,54.3534,0,0,0,0,0,0,0,0,0,0,0
46.12911,67.7928,84.70592,3402.217,1701.109,1.914915,2,5.13237,122.6 yds,0.9149998,1.713192,30,26.29164,0,I3,78.31818,-15,0,4.680597,-19.6806,0,0,0,0,0,0,0
107.5676,127.9556,93.98933,3827.902,749.7842,2.208748,9.954558,20.63804,63.82 yds,7.445736,9.902632,11.29575,107.3692,0,I3,80.39664,-4.610507,0,3.391247,-8.001755,0,0,0,0,0,0,0
