Carry,TotalDistance,BallSpeed,BackSpin,SideSpin,HLA,VLA,Decent,DistanceToPin,PeakHeight,Offline,rawSpinAxis,rawCarryGame,rawCarryLM,Club,ClubSpeed,Path,AoA,FaceToTarget,FaceToPath,Lie,Loft,DynamicLoft,CR,HI,VI,SmashFactor
140.708,151.1933,103.3614,6466.136,49.74954,-3.501281,19.97054,44.87967,39.83 yds,26.311,-8.093505,0.44083,140.5472,0,I3,81.47078,-3.94778,0,-3.661096,-0.2866838,0,0,0,0,0,0,0
64.39334,86.23274,73.83624,2380.315,337.9613,-1.451968,11.47122,14.60791,103.58 yds,3.892567,-0.294517,8.16254,64.00006,0,I3,83.41594,-4.41446,0,-1.095173,-3.319288,0,0,0,0,0,0,0
141.7451,159.509,98.02406,2880.023,-50.47904,-2.721145,21.82318,40.18417,31.74 yds,23.32054,-7.579403,-1.004292,141.5564,0,I3,78.65575,-1.657725,0,-3.060202,1.402477,0,0,0,0,0,0,0
115.5577,130.4985,89.66556,5105.847,1372.645,7.378662,19.18203,36.53979,69.52 yds,16.65797,25.38993,15.59512,115.5155,0,I3,78.93221,-5.3371,0,9.795782,-15.13288,0,0,0,0,0,0,0
37.53741,62.78506,86.53909,1380.276,690.1382,7.06143,2,4.040195,128.28 yds,0.662938,2.678278,30,19.32328,0,I3,78.30067,-8.654304,0,9.91489,-18.56919,0,0,0,0,0,0,0
146.214,159.583,105.678,5914.588,373.6054,-1.388061,19.51588,44.80239,30.25 yds,26.80296,0.6528506,3.6216,146.1978,0,I3,80.06663,-4.800018,0,-0.9586409,-3.841377,0,0,0,0,0,0,0
108.0103,130.3751,93.3316,2250.26,888.0961,5.615815,12.62684,20.28156,67.44 yds,8.214583,20.12925,23.245,107.7168,0,I3,83.02782,-2.205414,0,7.172643,-9.378057,0,0,0,0,0,0,0
153.4933,168.5209,108.7197,5254.551,77.43004,-4.126688,17.45254,41.92422,24.25 yds,25.23438,-10.03335,0.84433,153.4695,0,I3,83.25835,-4.806709,0,-4.291625,-0.5150838,0,0,0,0,0,0,0
139.5387,150.2917,103.0959,6726.759,438.2406,-1.477374,20.33299,45.24825,19.63 yds,26.69663,0.5632612,3.7354,139.3666,0,I3,82.5355,-5.359872,0,-0.9820873,-4.377785,0,0,0,0,0,0,0
145.0454,156.3061,105.5301,6244.729,-285.0924,-4.211015,19.90608,45.18884,20.69 yds,27.43518,-13.68395,-2.61665,144.9563,0,I3,81.14689,-1.642084,0,-4.876351,3.234267,0,0,0,0,0,0,0
155.3784,168.1522,109.2566,4766.067,241.4949,-1.057206,16.16783,39.9288,5.83 ft,23.17411,0.5392963,2.9044,155.2638,0,I3,82.65032,-3.1937,0,-0.8005473,-2.393153,0,0,0,0,0,0,0
151.7242,165.3961,108.3217,5664.81,-39.57697,-4.615326,18.7463,44.67456,14.78 yds,27.19726,-12.69124,-0.400298,151.685,0,I3,81.71304,-4.261174,0,-4.969595,0.7084212,0,0,0,0,0,0,0
155.1729,168.8198,110.2608,5649.799,-343.2209,-6.836856,18.76384,45.19587,25.35 yds,28.34831,-22.84144,-3.482819,155.0936,0,I3,83.22833,-3.821481,0,-7.741064,3.919582,0,0,0,0,0,0,0
142.973,154.2591,104.7606,6464.689,599.84,-0.5563471,20.58589,45.76909,16.67 yds,27.93022,4.742579,5.32397,142.8005,0,I3,80.90912,-5.977327,0,0.233227,-6.210554,0,0,0,0,0,0,0
133.2276,154.5262,107.239,3460.39,605.4477,0.008386019,8.181775,20.11691,18.4 yds,8.643353,7.286311,10.07663,132.7869,0,I3,88.05864,-5.019011,0,0.7747531,-5.793764,0,0,0,0,0,0,0
148.6393,157.702,106.7836,5177.757,-663.0925,-10.10948,16.02407,38.9909,40.11 yds,21.74146,-34.04014,-7.357823,148.5301,0,I3,85.24197,-4.421486,0,-11.63376,7.212274,0,0,0,0,0,0,0
