Carry,TotalDistance,BallSpeed,BackSpin,SideSpin,HLA,VLA,Decent,DistanceToPin,PeakHeight,Offline,rawSpinAxis,rawCarryGame,rawCarryLM,Club,ClubSpeed,Path,AoA,FaceToTarget,FaceToPath,Lie,Loft,DynamicLoft,CR,HI,VI,SmashFactor
169.5195,180.2982,116.7577,5021.265,219.1952,-0.04438229,18.46157,45.7993,19.01 yds,31.57248,3.45039,2.50195,169.3621,0,I3,83.34881,-1.967354,0,0.2456553,-2.21301,0,0,0,0,0,0,0
99.63081,117.1545,94.13494,4008.622,1606.601,9.192789,8.898082,17.00145,65.66 yds,5.903104,25.79188,23.62735,99.2094,0,I3,81.24043,-5.267419,0,11.99369,-17.2611,0,0,0,0,0,0,0
115.5645,135.4937,96.66169,4024.929,931.3918,5.473511,10.41772,22.07735,43.38 yds,8.768557,18.91403,13.37985,115.362,0,I3,85.87115,-2.457409,0,7.037789,-9.495197,0,0,0,0,0,0,0
162.0908,171.7742,112.601,4700.839,-702.8832,-8.551724,16.75576,41.36794,37.48 yds,25.66986,-34.74367,-8.59928,161.9025,0,I3,85.2077,-2.519979,0,-10.027,7.507022,0,0,0,0,0,0,0
159.4983,170.8301,111.887,5262.634,315.326,-1.253468,18.0912,44.29049,4.8 ft,28.07111,0.9613975,3.4351,159.3671,0,I3,85.31615,-3.955978,0,-0.9233598,-3.032619,0,0,0,0,0,0,0
124.9294,139.4741,96.33072,5214.578,1112.39,7.918879,14.97501,33.14537,45.83 yds,14.95528,26.71855,12.31717,124.8083,0,I3,83.80386,-1.786923,0,9.912644,-11.69957,0,0,0,0,0,0,0
111.8311,127.0564,93.2005,4774.354,1692.876,7.545835,12.7946,25.68715,56.85 yds,10.36023,26.81547,20.76752,111.6062,0,I3,80.43073,-7.844269,0,10.38121,-18.22548,0,0,0,0,0,0,0
127.277,141.6068,97.0153,5938.527,1257.831,5.918067,16.63856,37.28468,41.22 yds,17.70243,23.5313,12.22836,127.1486,0,I3,84.77826,-4.9306,0,7.95573,-12.88633,0,0,0,0,0,0,0
150.0351,163.5887,107.5144,5721.915,81.65088,-5.098291,18.58011,43.93017,15.06 yds,26.48781,-12.34803,0.81763,149.8915,0,I3,82.38974,-5.822948,0,-5.319652,-0.5032959,0,0,0,0,0,0,0
175.2472,188.6689,116.7657,3707.134,-433.7526,-3.597881,16.76296,40.74582,28.16 yds,27.11383,-19.94066,-6.719275,175.0819,0,I3,81.08993,0.4737269,0,-4.452223,4.92595,0,0,0,0,0,0,0
