Carry,TotalDistance,BallSpeed,BackSpin,SideSpin,HLA,VLA,Decent,DistanceToPin,PeakHeight,Offline,rawSpinAxis,rawCarryGame,rawCarryLM,Club,ClubSpeed,Path,AoA,FaceToTarget,FaceToPath,Lie,Loft,DynamicLoft,CR,HI,VI,SmashFactor
139.8895,146.2785,103.4913,6456.088,357.9584,-3.660616,24.38669,49.72556,41.08 yds,32.43863,-5.306246,3.1784,139.8751,0,I7,78.16368,-7.009261,0,-3.388716,-3.620546,0,0,0,0,0,0,0
151.4075,153.807,107.2521,5350.204,-8.466355,-4.811599,21.53929,47.22604,49.53 yds,30.57084,-12.75784,-0.09066694,150.7985,0,I7,76.39732,-4.730567,0,-5.137035,0.4064684,0,0,0,0,0,0,0
134.0789,143.9078,99.1104,6139.525,284.6889,-3.195044,21.32046,45.14862,20.34 ft,25.41385,-4.797568,2.65775,133.971,0,I7,77.65529,-5.875689,0,-2.994605,-2.881084,0,0,0,0,0,0,0
104.1672,114.8894,91.00809,3997.918,1921.221,8.488322,12.98692,23.50176,50.68 yds,8.905757,28.78439,28.72168,104.0069,0,I7,79.94624,-9.083547,0,11.71738,-20.80092,0,0,0,0,0,0,0
127.8736,136.5349,97.59821,7718.891,975.6396,-1.179115,23.29953,47.94371,13.13 yds,27.35919,4.677865,7.2614,127.7718,0,I7,81.80411,-9.899848,0,0.0725855,-9.972433,0,0,0,0,0,0,0
149.9753,159.2982,108.7817,6304.65,-133.9375,-8.149073,21.93895,48.65649,25.9 yds,32.5268,-22.78383,-1.217297,149.9441,0,I7,80.35819,-6.930334,0,-8.864985,1.934651,0,0,0,0,0,0,0
99.95548,119.6001,88.14468,3666.449,1444.903,6.400816,13.05948,22.58363,41.94 yds,8.376318,21.14647,23.2091,99.75694,0,I7,81.51559,-6.560134,0,8.791656,-15.35179,0,0,0,0,0,0,0
136.0898,147.8409,100.593,5839.587,782.9795,-1.627333,17.87024,40.68293,14.06 ft,21.37689,3.74857,7.7055,135.9323,0,I7,79.24257,-8.852222,0,-0.63266,-8.219563,0,0,0,0,0,0,0
142.7513,151.609,104.7246,6491.144,729.603,-0.1552412,20.78201,46.74776,25.22 ft,28.14493,7.050865,6.45367,142.7486,0,I7,80.75748,-6.761322,0,0.840959,-7.602282,0,0,0,0,0,0,0
153.1397,160.6463,111.8398,6413.034,-205.8952,-4.880031,24.03447,51.79254,19.94 yds,37.77731,-15.49758,-1.839839,153.0076,0,I7,82.82297,-3.062281,0,-5.474473,2.412192,0,0,0,0,0,0,0
