Carry,TotalDistance,BallSpeed,BackSpin,SideSpin,HLA,VLA,Decent,DistanceToPin,PeakHeight,Offline,rawSpinAxis,rawCarryGame,rawCarryLM,Club,ClubSpeed,Path,AoA,FaceToTarget,FaceToPath,Lie,Loft,DynamicLoft,CR,HI,VI,SmashFactor
89.8559,102.3534,76.0236,6012.755,1435.576,11.90988,22.19054,36.89623,55.01 yds,13.6613,24.5673,13.81308,89.61913,0,I7,74.66188,-2.149484,0,14.82652,-16.97601,0,0,0,0,0,0,0
88.76485,103.2281,76.39565,4687.978,1458.839,10.74035,20.17589,32.19671,54.54 yds,11.60075,23.55398,18.1308,88.49038,0,I7,75.64042,-3.362015,0,13.58743,-16.94945,0,0,0,0,0,0,0
125.3177,141.8233,93.02818,4960.745,-121.5336,-3.506342,21.03018,40.90042,10.95 yds,21.05435,-8.798985,-1.403833,125.1741,0,I7,75.33154,-2.326679,0,-3.914198,1.58752,0,0,0,0,0,0,0
129.9632,145.5331,97.37643,6146.703,-93.86768,-4.283838,18.34816,40.70893,11.88 yds,20.57578,-10.50848,-0.8750107,129.855,0,I7,79.64867,-3.422099,0,-4.693858,1.27176,0,0,0,0,0,0,0
87.72325,102.5829,76.72946,4731.42,1340.853,8.570439,18.62247,30.45449,51.64 yds,10.49531,19.36328,16.46283,87.52446,0,I7,78.35925,-3.941642,0,11.03408,-14.97572,0,0,0,0,0,0,0
131.8205,145.9365,98.09819,5871.387,-508.1704,-7.270058,18.48765,40.41285,24.05 yds,20.96362,-21.28351,-4.96518,131.7716,0,I7,78.39565,-2.530301,0,-8.46513,5.934829,0,0,0,0,0,0,0
112.3127,129.3291,89.95,4156.162,783.5562,1.869126,15.09941,28.65223,21.12 yds,11.99558,10.11136,10.86694,112.2053,0,I7,80.43475,-5.253903,0,3.075798,-8.329701,0,0,0,0,0,0,0
128.6217,141.3467,96.51544,6541.26,-136.6212,-4.889767,21.9227,45.24934,14.29 yds,24.76157,-12.0959,-1.196771,128.5709,0,I7,78.13026,-3.611158,0,-5.402716,1.791557,0,0,0,0,0,0,0
90.90054,98.69977,76.79072,8267.032,-1453.249,-12.03021,21.83526,38.03787,57.12 yds,14.38166,-24.00282,-10.12455,90.81333,0,I7,77.92583,1.606121,0,-14.89023,16.49635,0,0,0,0,0,0,0
136.4147,145.1748,100.8944,6468.454,154.0115,-5.07814,20.53125,44.67602,11.29 yds,25.57857,-10.63019,1.36432,136.2658,0,I7,80.23623,-6.481667,0,-5.194778,-1.286889,0,0,0,0,0,0,0
139.9001,148.8053,103.2351,6580.544,115.2597,-2.550386,22.55383,47.61086,18.44 ft,29.83386,-5.084295,1.0036,139.7376,0,I7,79.77837,-3.606785,0,-2.55542,-1.051364,0,0,0,0,0,0,0
