Carry,TotalDistance,BallSpeed,BackSpin,SideSpin,HLA,VLA,Decent,DistanceToPin,PeakHeight,Offline,rawSpinAxis,rawCarryGame,rawCarryLM,Club,ClubSpeed,Path,AoA,FaceToTarget,FaceToPath,Lie,Loft,DynamicLoft,CR,HI,VI,SmashFactor
73.24052,78.31289,66.76768,6861.516,-2215.713,-22.93662,24.96463,37.06915,84.72 yds,11.79893,-33.88652,-18.83954,73.06511,0,I7,69.64468,0.3262999,0,-15,15.3263,0,0,0,0,0,0,0
117.2635,123.7753,91.54218,8078.774,320.8344,2.098443,25.02822,48.14203,23.11 yds,25.80711,6.286788,2.276,117.223,0,I7,74.00231,-1.071674,0,2.717892,-3.789566,0,0,0,0,0,0,0
129.214,141.2807,95.19186,5287.319,-40.73741,-4.966459,23.55394,45.31863,13.64 yds,25.58232,-11.58398,-0.4414534,129.2132,0,I7,70.43671,-4.543564,0,-5.354048,0.8104839,0,0,0,0,0,0,0
120.9081,131.1134,92.58094,6810.943,173.3344,-2.014225,25.22647,47.44169,14.96 yds,26.36969,-2.964881,1.4583,120.7622,0,I7,75.18575,-3.699963,0,-1.888503,-1.81146,0,0,0,0,0,0,0
86.08906,93.60019,73.32874,6192.8,-1038.289,-14.93216,34.38073,49.7708,63.74 yds,22.51797,-26.4658,-9.651831,86.0769,0,I7,76.18625,-4.967092,0,-15,10.03291,0,0,0,0,0,0,0
120.0873,130.3691,91.17822,5916.817,-202.4832,-4.539188,26.20449,47.66612,20.04 yds,26.37476,-11.11329,-1.961139,119.9299,0,I7,75.64008,-2.581806,0,-5.132722,2.550916,0,0,0,0,0,0,0
80.546,105.3405,104.2045,2393.063,975.1347,4.909929,4.071936,6.715793,45.23 yds,1.859791,11.74093,24.04688,79.08208,0,I7,75.86118,-4.489114,0,6.661172,-11.15029,0,0,0,0,0,0,0
145.1808,154.9347,106.2603,6133.89,-102.1877,-2.255094,24.65972,50.60492,11.68 yds,34.68694,-6.859103,-0.9545648,145.0577,0,I7,78.61572,-1.304647,0,-2.546615,1.241968,0,0,0,0,0,0,0
123.9145,135.7568,93.35535,6107.431,-215.9064,-4.985794,23.45108,45.36256,17.49 yds,24.57108,-12.5186,-2.02591,123.7629,0,I7,77.84356,-2.95773,0,-5.619155,2.661425,0,0,0,0,0,0,0
138.2372,146.5452,102.7904,6522.779,32.37937,-3.52808,25.09979,50.12539,26.06 ft,32.97094,-8.185782,0.28442,138.222,0,I7,77.7351,-3.832648,0,-3.71126,-0.1213887,0,0,0,0,0,0,0
153.7158,161.6515,110.9755,6186.984,-514.9257,-5.306735,22.0778,49.77788,26.16 yds,34.07743,-20.49913,-4.774092,153.7487,0,I7,80.99076,-0.6578609,0,-6.360208,5.702347,0,0,0,0,0,0,0
84.2269,93.05095,73.75539,7802.88,-1975.343,-14.35966,20.92694,35.43724,65.21 yds,12.04712,-26.87704,-14.66432,84.04282,0,I7,75.73306,4.712316,0,-15,19.71232,0,0,0,0,0,0,0
133.0788,142.4773,98.68475,6217.808,341.9893,2.42677,20.97886,44.25115,10.2 yds,24.72795,8.751271,3.15295,132.923,0,I7,78.18328,-0.7716722,0,3.071898,-3.84357,0,0,0,0,0,0,0
140.463,147.33,105.6306,7419.132,-268.6979,-0.689384,24.57026,51.3765,14.3 ft,34.44145,-4.204607,-2.075529,140.3653,0,I7,85.08154,1.619849,0,-1.086007,2.705856,0,0,0,0,0,0,0
