Carry,TotalDistance,BallSpeed,BackSpin,SideSpin,HLA,VLA,Decent,DistanceToPin,PeakHeight,Offline,rawSpinAxis,rawCarryGame,rawCarryLM,Club,ClubSpeed,Path,AoA,FaceToTarget,FaceToPath,Lie,Loft,DynamicLoft,CR,HI,VI,SmashFactor
167.5326,178.7771,112.4913,3533.146,185.3786,-2.395602,17.02398,39.57005,33.21 yds,25.04922,-3.342719,3.0076,167.4707,0,I6,72.38461,-4.268234,0,-2.266228,-2.002006,0,0,0,0,0,0,0
159.7509,165.7021,110.8031,4651.393,-697.8386,-7.361343,18.93762,44.25338,36.6 yds,28.10381,-31.07093,-8.628542,159.704,0,I6,77.72476,-0.7963504,0,-8.840392,8.044042,0,0,0,0,0,0,0
144.2478,153.4766,104.8834,4353.108,-1153.263,-9.769484,15.08529,34.5003,42.29 yds,18.1979,-38.90027,-15.36271,144.1361,0,I6,77.48766,1.113158,0,-12.06294,13.1761,0,0,0,0,0,0,0
144.9879,154.6318,106.2755,6668.678,-340.3868,-2.543879,21.01997,47.42124,13.77 yds,29.6497,-9.944284,-2.925798,144.8732,0,I6,83.11217,0.4507758,0,-3.165585,3.616361,0,0,0,0,0,0,0
144.2101,156.3812,102.91,5010.982,0,-3.973909,20.10477,42.93182,14.95 yds,25.60292,-9.983821,0,144.0621,0,I6,74.24534,0,0,0,0,0,0,0,0,0,0,0
131.9777,145.4608,96.97093,5167.187,100.3554,-2.798389,19.59628,40.48223,17.75 ft,21.54369,-5.433218,1.11285,131.9511,0,I6,74.85077,-3.778745,0,-2.831144,-0.9476013,0,0,0,0,0,0,0
158.7218,168.4247,113.1151,5955.794,324.1738,1.752584,20.62128,48.06022,24.51 yds,33.22354,9.124598,3.12015,158.6376,0,I6,82.40993,-1.123727,0,2.304772,-3.428499,0,0,0,0,0,0,0
136.7278,144.6875,102.3452,7317.707,-443.6131,-4.045854,22.18845,48.05826,14.59 yds,28.95908,-13.50946,-3.475508,136.5682,0,I6,84.30138,-0.1980906,0,-4.895248,4.697157,0,0,0,0,0,0,0
132.3343,139.7895,99.57628,6937.8,-183.2329,-4.220905,24.54143,49.16759,13.65 yds,30.14717,-11.31498,-1.513404,132.1931,0,I6,78.08421,-2.505057,0,-4.756936,2.251879,0,0,0,0,0,0,0
145.1602,152.3422,108.0602,6965.129,303.058,2.167659,24.6927,51.56758,11.17 yds,36.17827,8.636374,2.49377,145.0202,0,I6,83.48826,-0.4865905,0,2.71303,-3.199621,0,0,0,0,0,0,0
140.2179,148.1017,104.2454,7059.377,-612.58,-4.175313,22.40342,48.50649,17.18 yds,30.34615,-15.97943,-4.978123,140.2248,0,I6,82.76748,1.236486,0,-5.27138,6.507865,0,0,0,0,0,0,0
