Carry,TotalDistance,BallSpeed,BackSpin,SideSpin,HLA,VLA,Decent,DistanceToPin,PeakHeight,Offline,rawSpinAxis,rawCarryGame,rawCarryLM,Club,ClubSpeed,Path,AoA,FaceToTarget,FaceToPath,Lie,Loft,DynamicLoft,CR,HI,VI,SmashFactor
124.4354,132.7039,94.74791,6963.153,-838.803,-8.779629,23.52273,46.51118,27.65 yds,25.63274,-25.25667,-6.91883,124.3477,0,I9,77.6005,-0.8758612,0,-10.5549,9.67904,0,0,0,0,0,0,0
128.1788,134.1624,98.85081,7523.456,45.1648,-2.508705,27.49482,52.09806,10.26 yds,33.51255,-5.251485,0.34396,128.1875,0,I9,78.83492,-2.927612,0,-2.608135,-0.3194761,0,0,0,0,0,0,0
124.2013,129.7978,96.00999,8021.676,-274.7166,-4.99372,25.53601,49.87897,13.89 yds,29.2936,-12.73496,-1.96258,124.1739,0,I9,80.33182,-2.493168,0,-5.699572,3.206404,0,0,0,0,0,0,0
139.5464,146.0179,104.6852,6801.4,-879.3879,-7.880955,25.98075,51.81433,34.2 yds,35.34827,-27.69726,-7.428863,139.4598,0,I9,80.5638,0.1004483,0,-9.609576,9.710025,0,0,0,0,0,0,0
111.6892,119.5153,88.37704,7462.806,-2296.031,-4.323563,26.17782,46.89728,25.71 yds,24.19603,-22.00035,-17.91847,111.6024,0,I9,73.3208,15,0,-8.092876,23.09288,0,0,0,0,0,0,0
134.4461,141.1392,101.5127,7027.897,-220.2806,-2.561796,25.80411,50.8585,17.66 yds,33.11734,-7.981575,-1.796158,134.3338,0,I9,79.5686,-0.537504,0,-3.036853,2.499349,0,0,0,0,0,0,0
134.8312,141.7857,100.8219,6998.042,-452.7634,-6.453855,22.53031,47.47314,25.18 yds,28.32479,-19.10115,-3.709546,134.7384,0,I9,80.95916,-2.364602,0,-7.496725,5.132122,0,0,0,0,0,0,0
124.3508,130.0011,96.74989,7778.408,-240.1745,-2.631876,27.80494,51.96474,27.04 ft,32.45,-7.467805,-1.769407,124.2468,0,I9,78.1348,-0.3842657,0,-3.145511,2.761245,0,0,0,0,0,0,0
115.1203,119.7842,91.4267,8293.307,-521.2863,-2.772006,28.41838,51.17004,10.94 yds,29.52592,-8.728015,-3.603774,115.0494,0,I9,80.7,1.95125,0,-3.671872,5.623122,0,0,0,0,0,0,0
126.8086,131.6171,98.72153,7931.335,246.0618,-1.090034,27.91512,52.47926,18.78 ft,34.01663,-0.5502986,1.77783,126.6884,0,I9,80.59913,-3.32233,0,-0.8209189,-2.501411,0,0,0,0,0,0,0
111.6001,116.3293,88.98384,8279.381,-170.0653,-2.043009,28.34269,50.02801,10.54 yds,27.82886,-4.944148,-1.176986,111.4836,0,I9,73.42096,-0.3493167,0,-2.433948,2.084631,0,0,0,0,0,0,0
123.1682,128.2343,95.55924,8152.165,-962.1756,-5.220642,25.48048,49.30563,18.75 yds,28.8319,-17.73281,-6.778249,123.0531,0,I9,80.47978,3.521266,0,-6.892002,10.41327,0,0,0,0,0,0,0
126.4026,131.4966,97.89095,7880.515,-245.6713,-2.101056,27.00932,51.54214,27.06 ft,32.31917,-6.468477,-1.786458,126.3619,0,I9,80.15548,0.1400371,0,-2.579158,2.719195,0,0,0,0,0,0,0
132.3212,138.5839,101.0574,6882.466,-342.2591,-1.350592,28.18377,53.03653,14.63 yds,35.79906,-6.203644,-2.850446,132.1931,0,I9,76.44792,1.923027,0,-1.937144,3.860171,0,0,0,0,0,0,0
130.7163,136.5012,100.5435,7902.72,135.6115,-1.911877,26.3376,51.60723,11.59 yds,33.35603,-3.282833,0.98325,130.6096,0,I9,82.66782,-3.111386,0,-1.853562,-1.257823,0,0,0,0,0,0,0
129.7598,137.6734,97.73605,6865.564,-564.2137,-6.535362,19.88605,43.56543,23.32 yds,22.94639,-19.29477,-4.713897,129.6824,0,I9,81.93639,-1.500292,0,-7.727611,6.227318,0,0,0,0,0,0,0
134.3982,141.9059,100.9482,7141.391,-304.6119,-2.931356,23.69864,48.7425,19.1 yds,30.01344,-9.517156,-2.44466,134.2572,0,I9,80.59074,-0.1675954,0,-3.543103,3.375507,0,0,0,0,0,0,0
