Carry,TotalDistance,BallSpeed,BackSpin,SideSpin,HLA,VLA,Decent,DistanceToPin,PeakHeight,Offline,rawSpinAxis,rawCarryGame,rawCarryLM,Club,ClubSpeed,Path,AoA,FaceToTarget,FaceToPath,Lie,Loft,DynamicLoft,CR,HI,VI,SmashFactor
114.2115,127.1306,87.05634,5152.683,214.9633,-3.825324,25.1299,44.2215,10.42 yds,22.36906,-5.916669,2.391,114.1615,0,I7,76.53771,-5.878974,0,-3.761407,-2.117567,0,0,0,0,0,0,0
126.7094,133.37,96.7296,7628.17,398.4897,-2.549572,23.6631,48.10454,9.76 ft,27.36572,-2.669336,2.99445,126.5909,0,I7,80.57935,-6.165589,0,-2.164647,-4.000942,0,0,0,0,0,0,0
113.4194,124.7234,87.30916,5851.548,71.6007,-3.433834,24.60157,44.36481,12.65 yds,22.16508,-6.279492,0.7011,113.3861,0,I7,76.20028,-4.120902,0,-3.552614,-0.5682878,0,0,0,0,0,0,0
82.76694,104.8646,86.66315,2959.787,1451.111,9.238936,10.11324,15.88032,44.72 yds,4.780119,20.91622,29.3587,82.27363,0,I7,79.49135,-4.109173,0,11.87343,-15.9826,0,0,0,0,0,0,0
57.62801,67.80452,56.33614,5246.757,604.9248,-6.496124,34.35207,43.44287,67.88 yds,12.66363,-5.233662,6.62064,57.57187,0,I7,78.3264,-12.1433,0,-6.058597,-6.084704,0,0,0,0,0,0,0
40.94635,56.96048,57.4133,5965.596,-434.8796,-23.79149,12.64323,15.84836,86.6 yds,2.659525,-16.6411,-4.180452,40.38468,0,I7,83.86824,-15,0,-15,0,0,0,0,0,0,0,0
122.0934,131.0371,92.44424,6209.444,-53.32304,-3.967602,23.61399,44.73041,10.54 yds,24.24598,-8.856931,-0.4920284,121.9397,0,I7,80.28078,-3.481931,0,-4.299757,0.8178263,0,0,0,0,0,0,0
89.99351,98.27535,74.96652,7110.6,373.714,-0.921886,28.48804,45.09205,36.89 yds,19.01875,0.07711484,3.0127,89.87274,0,I7,80.85633,-4.30148,0,-0.4670612,-3.834419,0,0,0,0,0,0,0
88.30396,111.7372,92.67062,2121.518,974.1345,4.372447,9.116548,12.96264,31.74 yds,4.466718,13.7976,27.33347,87.72041,0,I7,79.14097,-4.627834,0,6.027974,-10.65581,0,0,0,0,0,0,0
116.5053,129.1753,89.18337,5965.41,667.3448,0.9404417,24.97085,45.05527,10.21 yds,23.64342,6.88543,6.42307,116.377,0,I7,77.74994,-5.335653,0,1.957672,-7.293324,0,0,0,0,0,0,0
104.7759,116.5049,83.05812,6254.03,-158.9298,-2.586409,23.56514,41.32299,19.88 yds,18.78158,-5.649262,-1.456179,104.7276,0,I7,78.55423,-1.107047,0,-2.980058,1.873011,0,0,0,0,0,0,0
106.3069,117.7529,83.72163,6087.409,502.1286,0.678202,24.38935,42.42677,18.24 yds,19.8901,4.331053,4.7315,106.2099,0,I7,81.5043,-3.826581,0,1.408545,-5.235126,0,0,0,0,0,0,0
121.6719,128.8256,93.3728,6880.846,768.0448,-0.7759491,26.09469,48.5537,23.71 ft,27.80599,4.103876,6.40875,121.5826,0,I7,82.42397,-7.589487,0,0.2114632,-7.80095,0,0,0,0,0,0,0
113.0051,123.4059,87.36877,5927.462,1077.552,2.268994,25.88544,46.01076,18.64 yds,23.37497,12.09222,10.47403,112.8352,0,I7,81.17057,-7.437853,0,3.895279,-11.33313,0,0,0,0,0,0,0
