Carry,TotalDistance,BallSpeed,BackSpin,SideSpin,HLA,VLA,Decent,DistanceToPin,PeakHeight,Offline,rawSpinAxis,rawCarryGame,rawCarryLM,Club,ClubSpeed,Path,AoA,FaceToTarget,FaceToPath,Lie,Loft,DynamicLoft,CR,HI,VI,SmashFactor
112.7012,119.3275,89.41927,7921.617,1071.669,3.830374,28.23279,49.84857,22.51 yds,27.78107,13.91464,7.77505,112.6993,0,I7,80.94872,-5.849949,0,5.554219,-11.40417,0,0,0,0,0,0,0
104.5119,114.6997,82.45538,5746.244,615.687,-1.788872,26.37931,44.47021,20.49 yds,21.02902,0.5823075,6.15082,104.3863,0,I7,75.63159,-7.741314,0,-0.9985412,-6.742773,0,0,0,0,0,0,0
122.7115,128.8062,96.63896,8370.754,869.4126,3.582353,28.13549,52.42896,16.17 yds,32.78417,13.60649,5.96167,122.6677,0,I7,80.50925,-4.313853,0,5.018284,-9.332138,0,0,0,0,0,0,0
110.0655,116.5514,87.14422,8096.21,-1101.21,-6.937935,24.45969,45.40979,29.05 yds,22.39534,-19.20987,-7.817346,109.9967,0,I7,75.53919,3.721557,0,-9.013146,12.7347,0,0,0,0,0,0,0
113.7977,119.2598,89.99097,8471.112,31.43554,-2.216375,26.29889,49.08435,16.58 yds,26.32476,-4.219068,0.21262,113.7674,0,I7,75.3175,-2.521561,0,-2.314106,-0.2074549,0,0,0,0,0,0,0
104.1383,112.6243,82.97118,7010.177,521.5805,-2.472005,24.7011,43.12894,22.61 yds,20.05678,-1.693446,4.26694,104.0452,0,I7,80.37448,-7.217079,0,-1.910045,-5.307034,0,0,0,0,0,0,0
137.0464,143.4347,103.034,6870.268,377.6721,-2.458263,25.94457,51.31319,25.7 ft,34.30982,-2.293242,3.15125,136.9891,0,I7,80.02166,-5.909251,0,-2.092536,-3.816715,0,0,0,0,0,0,0
106.4607,111.2802,85.84528,9256.783,168.9224,-3.393901,25.96418,47.57397,24.7 yds,23.55015,-5.494349,1.04562,106.2948,0,I7,79.038,-4.956679,0,-3.376686,-1.579994,0,0,0,0,0,0,0
125.6427,129.3987,98.57118,8267.751,1036.632,1.447957,28.08566,52.79575,12.78 yds,34.0243,10.66118,7.20285,125.5068,0,I7,81.40916,-7.86289,0,2.960494,-10.82338,0,0,0,0,0,0,0
68.89289,81.62869,65.79589,5323.77,26.85856,-6.832843,20.74829,30.49919,54.95 yds,8.626696,-8.089473,0.28906,68.61832,0,I7,72.07412,-7.105342,0,-7.235949,0.1306071,0,0,0,0,0,0,0
111.398,123.7423,86.32327,5925.021,512.186,-0.7047291,24.75744,43.75905,11.76 yds,21.71881,2.143014,4.9591,111.325,0,I7,77.90555,-5.511999,0,-0.01829662,-5.493702,0,0,0,0,0,0,0
119.5551,129.34,91.89586,6073.116,1227.689,2.074657,28.7008,50.39979,17.29 yds,29.4108,14.12015,11.6628,119.4542,0,I7,85.32852,-8.445765,0,3.812227,-12.25799,0,0,0,0,0,0,0
101.7189,113.9749,80.95764,5636.747,170.3039,-6.418837,24.87312,42.27178,24.63 yds,18.73227,-10.3516,1.73135,101.5715,0,I7,79.57012,-7.98385,0,-6.598115,-1.385734,0,0,0,0,0,0,0
120.9884,126.0967,94.65229,8216.56,282.1575,-3.390073,26.99131,50.75498,10.67 yds,30.13513,-5.26896,1.96793,120.8495,0,I7,79.09557,-5.998492,0,-3.213327,-2.785166,0,0,0,0,0,0,0
