Carry,TotalDistance,BallSpeed,BackSpin,SideSpin,HLA,VLA,Decent,DistanceToPin,PeakHeight,Offline,rawSpinAxis,rawCarryGame,rawCarryLM,Club,ClubSpeed,Path,AoA,FaceToTarget,FaceToPath,Lie,Loft,DynamicLoft,CR,HI,VI,SmashFactor
125.956,141.6951,92.50655,3844.146,33.61317,-0.2255662,20.1481,37.6335,19.61 ft,19.06138,-0.1190572,0.501,125.8365,0,I6,70.01096,-0.5766422,0,-0.1867646,-0.3898775,0,0,0,0,0,0,0
133.1439,144.7353,97.43786,5366.554,77.55674,1.135365,22.65121,45.43524,10.25 yds,25.86084,3.426606,0.82806,133.0182,0,I6,73.08956,0.3594661,0,1.327436,-0.9679697,0,0,0,0,0,0,0
115.9177,124.3188,89.90351,4582.867,-1130.538,-11.60154,18.17268,34.61961,38.91 yds,15.47545,-32.45515,-14.28161,115.7313,0,I6,74.11768,-0.4482767,0,-14.05543,13.60716,0,0,0,0,0,0,0
113.2211,128.5909,87.1498,4265.606,-707.6915,-6.135043,20.15519,35.56245,22.81 yds,16.4567,-18.05754,-9.549896,113.1025,0,I6,75.13345,0.7522619,0,-7.583392,8.335654,0,0,0,0,0,0,0
98.90242,112.5479,79.65421,5092.121,-1058.28,-10.54753,24.02665,38.96166,38.63 yds,16.84937,-24.25689,-11.99504,98.78912,0,I6,75.57123,-0.3079316,0,-12.79365,12.48572,0,0,0,0,0,0,0
125.3275,139.1546,92.56353,4478.865,6.97519,-0.8992133,20.93269,39.51557,13.5 ft,20.4409,-1.895552,0.08923,125.2712,0,I6,75.82313,-0.9664885,0,-0.9474774,-0.01901108,0,0,0,0,0,0,0
116.6596,125.3401,89.42487,5260.926,-1006.158,-11.00316,20.68044,39.16764,35.66 yds,18.54358,-29.97375,-11.02581,116.567,0,I6,78.65931,-1.650079,0,-13.1439,11.49382,0,0,0,0,0,0,0
87.55262,101.9884,76.04455,4876.767,1423.618,11.91338,19.80433,32.38996,47.86 yds,11.24567,24.55167,16.97284,87.38667,0,I6,76.46102,-1.700816,0,14.76243,-16.46325,0,0,0,0,0,0,0
64.51031,71.51475,60.60357,7753.815,-1000.932,-18.60069,31.58699,43.25441,72.67 yds,13.58841,-22.46244,-7.416952,64.43651,0,I6,73.34508,-8.622023,0,-15,6.377977,0,0,0,0,0,0,0
124.5472,138.8242,93.71107,5590.035,-504.9043,-4.904581,19.7409,39.70465,17.27 yds,20.05027,-14.93656,-5.182144,124.4765,0,I6,77.48396,-0.1398765,0,-5.94953,5.809653,0,0,0,0,0,0,0
102.3497,115.4048,82.23255,5888.966,-768.5414,-7.665861,21.57353,38.78514,29.99 yds,16.16995,-17.97258,-7.498794,102.2586,0,I6,73.88437,-0.05991223,0,-9.323292,9.263379,0,0,0,0,0,0,0
107.2613,121.4572,84.74282,5358.872,-380.0529,-3.45721,20.37291,37.14263,17.6 yds,16.08771,-8.970048,-4.066849,107.1862,0,I6,76.49035,0.1758795,0,-4.235599,4.411479,0,0,0,0,0,0,0
124.5117,134.5511,94.0691,6411.754,440.1411,-0.7247296,22.87902,45.18088,7.26 ft,24.37618,1.946923,3.93622,124.496,0,I6,76.25445,-4.945248,0,-0.1289781,-4.81627,0,0,0,0,0,0,0
127.5919,138.5233,95.73825,6253.009,127.3415,-2.729209,20.53435,42.89843,18.83 ft,22.47081,-5.006476,1.1669,127.5316,0,I6,77.99137,-3.923083,0,-2.724937,-1.198146,0,0,0,0,0,0,0
117.92,137.7751,89.75416,3097.23,171.1071,-4.525911,18.02403,31.77833,26.01 ft,14.58384,-7.374578,3.16693,117.6632,0,I6,77.10535,-6.14855,0,-4.573238,-1.575311,0,0,0,0,0,0,0
130.7586,142.9006,97.4704,6203.478,-197.4574,-5.637984,20.08299,42.25042,17.45 yds,22.87053,-14.55774,-1.824039,130.605,0,I6,78.48389,-3.79835,0,-6.285081,2.486732,0,0,0,0,0,0,0
126.1039,134.292,95.78999,7098.021,255.943,1.579025,23.65315,47.19208,17.98 ft,26.61059,5.449606,2.06644,126.0504,0,I6,78.35902,-0.8092946,0,2.045584,-2.854879,0,0,0,0,0,0,0
136.662,146.1612,100.6151,6037.946,-710.521,-5.152092,20.37388,44.5197,22.96 yds,24.89915,-19.15436,-6.757994,136.5264,0,I6,78.2933,1.483672,0,-6.498165,7.981837,0,0,0,0,0,0,0
123.6282,134.8149,93.01471,5870.545,250.2143,-0.1364897,22.24619,43.97118,6.43 ft,22.84381,1.783401,2.4428,123.5007,0,I6,78.0283,-2.481249,0,0.211805,-2.693054,0,0,0,0,0,0,0
89.0713,107.6001,83.44927,5041.881,619.4001,8.257227,11.31836,21.22464,35.14 yds,6.66014,15.48967,7.05667,88.62112,0,I6,80.53323,2.633357,0,9.65121,-7.017853,0,0,0,0,0,0,0
138.7398,150.8493,101.6106,6007.745,-544.5757,-7.110272,20.76488,45.27456,28.46 yds,26.07838,-22.61183,-5.200749,138.6051,0,I6,78.33642,-2.027119,0,-8.347255,6.320136,0,0,0,0,0,0,0
137.1909,147.7047,100.8758,6144.605,-306.3564,-5.43286,21.25921,45.64548,20.85 yds,26.4109,-15.97804,-2.857825,137.1738,0,I6,78.42397,-2.576475,0,-6.22149,3.645015,0,0,0,0,0,0,0
135.3887,144.083,100.8226,6623.122,524.8067,-1.541568,23.67095,48.49799,27.15 ft,29.69792,1.23112,4.5448,135.2415,0,I6,77.90668,-6.467225,0,-0.8915551,-5.57567,0,0,0,0,0,0,0
