Carry,TotalDistance,BallSpeed,BackSpin,SideSpin,HLA,VLA,Decent,DistanceToPin,PeakHeight,Offline,rawSpinAxis,rawCarryGame,rawCarryLM,Club,ClubSpeed,Path,AoA,FaceToTarget,FaceToPath,Lie,Loft,DynamicLoft,CR,HI,VI,SmashFactor
111.3517,122.6712,87.56307,6822.077,-1044.847,-4.017247,21.05408,40.57489,55.37 yds,18.58025,-14.11993,-8.809905,111.2921,0,I4,79.35241,5.610644,0,-5.745264,11.35591,0,0,0,0,0,0,0
155.0823,166.3115,110.8832,5880.265,707.6458,1.251398,20.65021,47.65579,16.37 yds,31.61401,12.3712,6.91187,154.9894,0,I4,80.39104,-5.185063,0,2.31329,-7.498354,0,0,0,0,0,0,0
159.9967,171.1669,113.5812,5738.688,745.1125,2.476582,20.97175,48.76529,19.39 yds,33.7911,17.12043,7.46036,159.8981,0,I4,81.00896,-4.248955,0,3.662232,-7.911188,0,0,0,0,0,0,0
161.9991,171.018,115.0626,5854.269,532.3834,0.5469448,21.15864,49.38005,10.5 yds,35.25645,8.956798,5.21765,161.9077,0,I4,83.15655,-4.13436,0,1.295636,-5.429996,0,0,0,0,0,0,0
133.0617,142.9987,99.72858,7088.149,76.14299,0.8989629,20.58112,45.29147,31.76 yds,25.16308,2.725429,0.6155,133.0082,0,I4,83.50467,0.2322049,0,1.059026,-0.8268208,0,0,0,0,0,0,0
172.6697,184.5778,118.6177,5040.61,-225.1884,-7.67059,18.97057,47.26405,29.9 yds,33.64681,-26.83138,-2.560531,172.6823,0,I4,83.95506,-5.709318,0,-8.468478,2.75916,0,0,0,0,0,0,0
149.366,163.1567,107.3098,5703.939,728.4953,-1.142573,18.58971,44.09503,13.45 yds,26.16677,5.664328,7.33774,149.2084,0,I4,81.44191,-7.683159,0,-0.2205953,-7.462564,0,0,0,0,0,0,0
139.8935,153.3564,102.896,6110.408,-658.1964,-8.370646,17.73805,41.20279,38.47 yds,22.64968,-26.82144,-6.183742,139.8567,0,I4,83.59382,-2.613331,0,-9.792336,7.179006,0,0,0,0,0,0,0
94.37655,116.9073,90.9161,1899.438,949.719,9.016373,11.74825,16.57454,69.09 yds,6.158254,23.19024,30,93.82249,0,I4,81.0264,-8.355793,0,12.24937,-20.60516,0,0,0,0,0,0,0
148.4102,165.1558,106.0388,4954.66,239.7106,-2.31469,16.25743,38.91464,29.78 ft,21.7141,-2.966813,2.7731,148.2584,0,I4,80.83406,-4.483052,0,-2.135002,-2.348051,0,0,0,0,0,0,0
