Carry,TotalDistance,BallSpeed,BackSpin,SideSpin,HLA,VLA,Decent,DistanceToPin,PeakHeight,Offline,rawSpinAxis,rawCarryGame,rawCarryLM,Club,ClubSpeed,Path,AoA,FaceToTarget,FaceToPath,Lie,Loft,DynamicLoft,CR,HI,VI,SmashFactor
130.7935,143.2776,96.45415,5439.302,-8.134645,-3.844798,25.24583,47.50046,12.94 yds,28.56699,-8.85003,-0.08568764,130.7751,0,I6,69.56699,-3.759296,0,-4.108005,0.3487084,0,0,0,0,0,0,0
132.2617,142.7985,98.71528,6444.399,-398.6783,0.1525117,24.08333,48.11473,28.57 ft,28.82774,-3.262427,-3.546828,132.2522,0,I6,76.23942,3.976192,0,-0.4200241,4.396216,0,0,0,0,0,0,0
96.09182,111.7842,79.93192,3814.682,-746.1387,-9.531722,18.7064,30.92398,49.26 yds,11.64066,-20.73252,-11.27957,95.97337,0,I6,76.85243,-2.432665,0,-11.23335,8.800686,0,0,0,0,0,0,0
127.3454,136.1925,96.8973,7493.23,-344.0609,-5.419084,23.14909,46.97716,22.63 yds,26.80341,-14.61545,-2.631732,127.313,0,I6,80.67168,-2.300533,0,-6.246754,3.946221,0,0,0,0,0,0,0
142.4031,150.8305,105.3114,6869.039,-580.8544,-5.995013,22.44186,48.99784,22.18 yds,31.04303,-20.58534,-4.850795,142.3582,0,I6,81.61096,-0.7907716,0,-7.177871,6.3871,0,0,0,0,0,0,0
153.2443,161.813,109.5682,5652.9,-530.8339,-4.084135,22.61781,49.08222,21.15 yds,33.73168,-17.7676,-5.388282,153.2381,0,I6,78.05456,0.8886423,0,-5.107392,5.996034,0,0,0,0,0,0,0
139.0326,150.3277,102.4823,6266.942,-983.8438,-7.864702,19.19922,42.97216,31.77 yds,24.36032,-28.49537,-9.032196,138.9746,0,I6,80.53378,1.068081,0,-9.737189,10.80527,0,0,0,0,0,0,0
121.6554,130.8948,91.95496,5977.6,157.5349,-4.494401,23.2653,44.63829,22.69 yds,23.46739,-8.264125,1.51016,121.5229,0,I6,82.40823,-5.892209,0,-4.573925,-1.318284,0,0,0,0,0,0,0
104.2899,112.739,83.27144,7267.102,-988.6974,-9.698413,26.5371,45.94181,48.45 yds,22.0398,-22.71119,-7.819406,104.1916,0,I6,77.74118,-0.3990962,0,-11.74605,11.34696,0,0,0,0,0,0,0
122.9525,128.8612,95.67308,8217.186,431.286,1.661114,26.23037,50.30387,23.86 yds,29.92229,6.507433,3.0086,122.8679,0,I6,80.40778,-2.260879,0,2.366639,-4.627518,0,0,0,0,0,0,0
109.6012,117.6592,85.91192,6292.392,45.88582,-2.47072,28.56264,48.28069,34.27 yds,25.60881,-4.421474,0.41782,109.5651,0,I6,77.57549,-2.90322,0,-2.565608,-0.3376119,0,0,0,0,0,0,0
133.2609,141.6929,100.7087,7029.526,132.1718,-3.001446,25.74699,50.92918,11.68 yds,32.49268,-5.808063,1.07736,133.1861,0,I6,78.59959,-4.231018,0,-3.009451,-1.221567,0,0,0,0,0,0,0
109.3036,119.001,85.52979,6388.955,600.5211,1.655687,25.7968,45.61289,33.69 yds,22.45983,6.960258,5.3934,109.2921,0,I6,80.9016,-3.771947,0,2.590212,-6.362159,0,0,0,0,0,0,0
124.8257,131.7068,96.59089,7695.969,786.7365,2.387863,26.87103,50.95655,23.53 yds,31.11,10.9924,5.86743,124.7094,0,I6,77.92339,-4.994586,0,3.667808,-8.662394,0,0,0,0,0,0,0
126.0828,132.4947,97.17017,7765.745,-203.0816,-3.108581,26.18019,50.56936,21.23 yds,30.79044,-8.341578,-1.49851,125.987,0,I6,79.36086,-1.237456,0,-3.595886,2.358429,0,0,0,0,0,0,0
135.0388,141.3906,101.4753,7046.168,98.84346,-0.2617644,24.62881,49.70707,10.12 yds,31.57338,0.2689535,0.80377,134.9534,0,I6,80.15548,-1.163444,0,-0.141445,-1.021999,0,0,0,0,0,0,0
138.3644,144.3614,104.5866,7292.133,27.9488,-0.2327594,25.81877,51.91521,21.46 ft,35.37974,-0.3017369,0.2196,138.2271,0,I6,82.85883,-0.4794185,0,-0.2103317,-0.2690868,0,0,0,0,0,0,0
