Carry,TotalDistance,BallSpeed,BackSpin,SideSpin,HLA,VLA,Decent,DistanceToPin,PeakHeight,Offline,rawSpinAxis,rawCarryGame,rawCarryLM,Club,ClubSpeed,Path,AoA,FaceToTarget,FaceToPath,Lie,Loft,DynamicLoft,CR,HI,VI,SmashFactor
77.2347,93.26342,71.53344,4351.687,1539.913,9.833136,19.2231,27.58186,28.73 yds,8.962436,19.08441,20.72394,76.90516,0,GW,65.32804,-7.402817,0,13.09853,-20.50134,0,0,0,0,0,0,0
60.19228,69.59959,61.64736,6357.371,-2265.833,-23.34392,21.04379,29.08943,54.76 yds,7.391932,-27.64364,-20.87991,59.9901,0,GW,68.21485,0.9438503,0,-15,15.94385,0,0,0,0,0,0,0
64.06139,70.12521,60.45061,7304.465,-991.4495,-14.9349,35.00329,47.05349,43.5 yds,15.44411,-18.52091,-7.800949,63.9865,0,GW,70.25885,-4.616596,0,-15,10.3834,0,0,0,0,0,0,0
94.26145,100.5406,77.69038,5872.279,-182.6557,-5.746052,33.31388,50.4895,12.45 yds,24.57236,-10.38985,-1.782457,94.15971,0,GW,72.84286,-3.912535,0,-6.399248,2.486713,0,0,0,0,0,0,0
83.80849,87.81127,73.62196,8905.502,-260.674,-6.273,34.87429,51.68184,21.09 yds,23.61995,-9.995004,-1.677351,83.74993,0,GW,72.32932,-3.637749,0,-7.082613,3.444865,0,0,0,0,0,0,0
94.79582,99.67317,78.20855,7085.357,-433.483,-7.222142,31.48842,49.15858,16.25 yds,23.58474,-13.9138,-3.507553,94.76509,0,GW,73.95359,-2.936148,0,-8.344973,5.408824,0,0,0,0,0,0,0
78.16622,84.97719,69.29603,5470.613,107.0208,-2.550698,38.33874,52.50916,20.81 yds,22.79585,-3.049395,1.12094,78.08968,0,GW,75.12196,-3.5924,0,-2.55799,-1.034409,0,0,0,0,0,0,0
84.77023,92.00124,72.28477,7390.671,-1030.375,-10.08273,30.93609,47.15079,25.68 yds,19.44011,-18.45139,-8.014032,84.66849,0,GW,75.67673,-0.1270315,0,-12.25536,12.12833,0,0,0,0,0,0,0
93.57448,96.02221,79.91014,9488.444,-60.17724,-3.497234,33.09346,52.83762,11.41 yds,26.49218,-5.93985,-0.3633815,93.57301,0,GW,74.66115,-2.907879,0,-3.814576,0.9066966,0,0,0,0,0,0,0
95.0407,99.05774,80.50519,6948.396,462.9815,-3.600119,36.52011,54.69707,22.44 ft,29.57901,-3.653085,3.82053,95.00887,0,GW,77.91076,-7.94527,0,-3.172485,-4.772785,0,0,0,0,0,0,0
91.73875,96.97046,78.30562,6415.843,1084.364,-2.149865,37.26959,53.99086,26.43 ft,28.3723,1.911749,9.73047,91.7314,0,GW,77.18454,-12.42255,0,-0.7249231,-11.69763,0,0,0,0,0,0,0
80.61462,84.27822,71.19922,9238.104,-706.6155,-10.73624,33.23467,50.01592,29.21 yds,20.81348,-17.00422,-4.386795,80.51305,0,GW,77.92928,-4.106118,0,-12.44481,8.338693,0,0,0,0,0,0,0
107.6209,112.5309,87.23347,6167.786,668.6885,-3.394181,34.77124,54.38445,21.81 ft,32.77413,-1.802878,6.22403,107.607,0,GW,78.79055,-9.599839,0,-2.669736,-6.930103,0,0,0,0,0,0,0
90.80981,94.26988,78.13882,8692.07,-186.5497,-3.736522,34.83807,52.92155,13.38 yds,26.68549,-6.637079,-1.22978,90.73892,0,GW,77.70465,-1.981081,0,-4.247065,2.265984,0,0,0,0,0,0,0
85.15698,88.95519,77.36502,6898.476,1696.332,-0.0009097487,41.8447,57.9875,18.57 yds,31.28924,7.260972,14.235,85.1193,0,GW,77.98675,-15,0,2.421803,-17.4218,0,0,0,0,0,0,0
86.86372,93.60247,75.99686,5883.535,658.8294,-3.097507,39.64595,55.372,11.97 yds,28.58963,-1.529897,6.42938,86.86295,0,GW,78.66779,-9.221228,0,-2.366239,-6.854989,0,0,0,0,0,0,0
