Mfg,Ball,PraticeDtTm,Carry,Total Distance,Ball Speed,Back Spin,Side Spin,HLA,VLA,Decent,Distance To Pin,Peak Height,Offline,Raw SpinAxis,Raw Carry Game,Raw Carry LM,Club,Club Speed,Path,AoA,Face To Target,Face To Path,Lie,Loft,Dynamic Loft,CR,HI,VI,Smash Factor
PGX One Length,Titlelist ProV1 RCT,2/26/23 15:59,128.8,136.4,97.8,7406.6,284.5,-3.4,23.7,47.8,18.18 ft,28,-5.4,2.2,128.8,0,I8,80.1,-6,0,-3.2,-2.8,0,0,0,0,0,0,0
PGX One Length,Titlelist ProV1 RCT,2/26/23 15:59,128.2,137.5,95.5,5329.6,-883,-6.5,27.6,49.5,25.32 yds,30.6,-23.1,-9.5,128.1,0,I8,74.7,5.3,0,-8.7,14,0,0,0,0,0,0,0
PGX One Length,Titlelist ProV1 RCT,2/26/23 15:59,116.3,123.6,92.1,8091.9,-114.5,-1.8,28.7,51.8,11.46 yds,30.3,-4.3,-0.8,116.2,0,I8,75.6,0,0,0,0,0,0,0,0,0,0,0
PGX One Length,Titlelist ProV1 RCT,2/26/23 15:59,132.4,137.9,101.5,7533,-80.5,-2.5,27.1,52.2,23.08 ft,34.9,-6.4,-0.6,132.4,0,I8,80.9,0,0,0,0,0,0,0,0,0,0,0
PGX One Length,Titlelist ProV1 RCT,2/26/23 15:59,136.2,144.2,101.1,6291.8,-319.3,-4.5,25.1,49.5,17.48 yds,31.7,-13.7,-2.9,136,0,I8,78.5,-1.2,0,-5.3,4.1,0,0,0,0,0,0,0
PGX One Length,Titlelist ProV1 RCT,2/26/23 15:59,126.3,133.3,97,7137.4,-3.4,-2.9,27.4,51.5,20.71 ft,31.9,-6.5,0,126.2,0,I8,80.6,0,0,0,0,0,0,0,0,0,0,0
PGX One Length,Titlelist ProV1 RCT,2/26/23 15:59,143.9,151.2,105.7,6040.5,-311.3,-5.3,25.7,51.1,24.03 yds,35.8,-16.7,-3,143.8,0,I8,80.3,-2.2,0,-6.1,3.9,0,0,0,0,0,0,0
PGX One Length,Titlelist ProV1 RCT,2/26/23 15:59,128.5,137.9,96.1,6123.1,-183.1,-3.9,25,47.9,11.83 yds,28.3,-10.4,-1.7,128.4,0,I8,78.6,-1.8,0,-4.5,2.7,0,0,0,0,0,0,0
PGX One Length,Titlelist ProV1 RCT,2/26/23 15:59,138.3,146.6,102.8,6453.4,162,-4.7,25.3,50.2,16.07 yds,33.2,-9.8,1.4,138.2,0,I8,83.6,-6.4,0,-4.8,-1.6,0,0,0,0,0,0,0
PGX One Length,Titlelist ProV1 RCT,2/26/23 15:59,142.5,150.9,105.1,6624.5,301.3,-3.2,23.5,49.2,17.54 yds,32.4,-4.8,2.6,142.4,0,I8,81.2,-6,0,-2.9,-3,0,0,0,0,0,0,0
PGX One Length,Titlelist ProV1 RCT,2/26/23 15:59,143.2,151.7,104.5,5979.8,-294.3,-5.1,24,49.1,23.87 yds,32.5,-16,-2.8,143.2,0,I8,80.6,-2.1,0,-5.9,3.8,0,0,0,0,0,0,0
PGX One Length,Titlelist ProV1 RCT,2/26/23 15:59,125.2,132.3,96.9,6895.9,-1300.1,1.1,29,52.2,28.12 ft,33.4,-8.3,-10.9,125.1,0,I8,74.9,0,0,0,0,0,0,0,0,0,0,0
PGX One Length,Titlelist ProV1 RCT,2/26/23 15:59,128.7,135.1,98.5,7468.6,80.3,-2.1,26.1,50.9,12.94 ft,31.5,-4,0.6,128.6,0,I8,82.3,0,0,0,0,0,0,0,0,0,0,0
PGX One Length,Titlelist ProV1 RCT,2/26/23 15:59,124.3,129.9,96.5,7614.9,-348.5,0,27.9,52,15.02 ft,32.4,-2.7,-2.6,124.2,0,I8,78.4,0,0,0,0,0,0,0,0,0,0,0
PGX One Length,Titlelist ProV1 RCT,2/26/23 15:59,139.4,148.6,101.6,5739.7,-365,-4.2,22.9,47.5,20.63 yds,29,-14.2,-3.6,139.4,0,I8,75.2,-0.7,0,-5,4.4,0,0,0,0,0,0,0
PGX One Length,Titlelist ProV1 RCT,2/26/23 15:59,138.7,146.5,104,6651.3,-68.4,-0.7,26.6,52,12.76 yds,35.9,-2.4,-0.6,138.6,0,I8,80.5,-0.1,0,-0.8,0.8,0,0,0,0,0,0,0
