Mfg,Ball,PracticeDtTm,Carry,Total_Distance,Ball_Speed,Back_Spin,Side_Spin,HLA,VLA,Decent,Distance_To_Pin,Peak_Height,Offline,raw_Spin_Axis,raw_Carry_Game,raw_Carry_LM,Club,Club_Speed,Path,AoA,Face_To_Target,Face_To_Path,Lie,Loft,Dynamic_Loft,CR,HI,VI,Smash_Factor
PGX One Length,Titlelist TruFeel,2023-02-28 21:23:36,62.3,67.1,60.2,7858.6,2929.8,17.2,38.0,50.1,33.65 yds,16.8,23.8,21.9,62.2,0.0,SW,71.8,-12.7,0.0,15.0,-27.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGX One Length,Titlelist TruFeel,2023-02-28 21:23:36,73.5,80.7,66.0,5337.5,2402.9,15.3,34.3,46.7,31.59 yds,17.2,27.2,26.8,73.3,0.0,SW,73.3,-8.6,0.0,15.0,-23.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGX One Length,Titlelist TruFeel,2023-02-28 21:23:36,92.7,106.3,77.5,5413.5,1465.1,10.6,22.0,36.0,34.48 yds,13.9,24.2,15.7,92.5,0.0,SW,75.0,-3.6,0.0,13.5,-17.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGX One Length,Titlelist TruFeel,2023-02-28 21:23:36,66.9,72.2,66.2,6476.5,1123.2,-9.9,45.4,58.2,14.52 yds,25.3,-8.3,10.0,66.9,0.0,SW,81.0,-15.0,0.0,-9.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGX One Length,Titlelist TruFeel,2023-02-28 21:23:36,81.7,82.5,71.5,9254.7,3478.3,26.0,29.0,45.8,47.14 yds,17.1,44.2,22.1,81.2,0.0,SW,91.3,-1.8,0.0,15.0,-16.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGX One Length,Titlelist TruFeel,2023-02-28 21:23:36,84.3,87.3,74.3,7926.2,107.7,-10.8,37.4,53.9,16.14 yds,26.0,-15.4,0.8,84.3,0.0,SW,71.5,-11.9,0.0,-11.3,-0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGX One Length,Titlelist TruFeel,2023-02-28 21:23:36,87.8,93.0,75.6,4685.1,358.7,-4.3,40.0,55.1,10.76 yds,28.5,-4.6,4.4,87.8,0.0,SW,74.3,-7.9,0.0,-4.1,-3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGX One Length,Titlelist TruFeel,2023-02-28 21:23:36,84.4,88.3,75.7,7534.4,338.9,-8.3,39.8,56.1,12.19 yds,28.8,-10.9,2.6,84.3,0.0,SW,75.2,-11.6,0.0,-8.4,-3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGX One Length,Titlelist TruFeel,2023-02-28 21:23:36,84.2,87.5,74.8,8045.8,64.0,-8.9,38.2,55.0,13.73 yds,27.0,-12.8,0.5,84.2,0.0,SW,76.1,-9.5,0.0,-9.4,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGX One Length,Titlelist TruFeel,2023-02-28 21:23:36,76.2,79.8,68.7,8719.5,-1500.3,-14.6,35.1,50.6,25.42 yds,20.4,-23.2,-9.9,76.2,0.0,SW,74.7,0.1,0.0,-15.0,15.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGX One Length,Titlelist TruFeel,2023-02-28 21:23:36,58.7,62.4,59.2,6250.7,-1076.4,-16.4,43.9,54.6,31.43 yds,19.5,-18.8,-9.9,58.6,0.0,SW,72.4,-5.6,0.0,-15.0,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGX One Length,Titlelist TruFeel,2023-02-28 21:23:36,83.2,86.5,72.6,8865.9,3653.6,17.2,27.6,43.7,36.89 yds,16.5,34.8,24.3,83.1,0.0,SW,73.8,-15.0,0.0,15.0,-30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
One Iron,Callaway Hex Tour,2023-01-28 11:55:11,98.7,111.2,79.6,5843.8,553.6,0.7,24.7,41.8,24.65 yds,17.8,4.2,5.4,98.6,0.0,I7,73.3,-4.8,0.0,1.6,-6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
One Iron,Callaway Hex Tour,2023-01-28 11:55:11,119.6,128.8,91.1,6167.0,490.3,-0.3,24.0,45.3,22.08 ft,23.8,3.1,4.6,119.6,0.0,I7,77.2,-5.0,0.0,0.4,-5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
One Iron,Callaway Hex Tour,2023-01-28 11:55:11,34.9,58.3,81.0,1881.5,940.7,9.0,2.0,4.3,78.93 yds,0.6,3.1,30.0,18.0,0.0,I7,79.8,-1.8,0.0,11.2,-13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
One Iron,Callaway Hex Tour,2023-01-28 11:55:11,72.8,86.8,67.9,5066.3,-51.6,0.0,20.6,30.7,48.33 yds,9.2,-0.1,-0.6,72.6,0.0,I7,79.2,0.5,0.0,-0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
One Iron,Callaway Hex Tour,2023-01-28 11:55:11,104.6,112.6,83.6,7489.0,1018.7,5.6,26.8,47.0,29.26 yds,22.6,15.5,7.8,104.7,0.0,I7,77.5,-4.1,0.0,7.4,-11.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
One Iron,Callaway Hex Tour,2023-01-28 11:55:11,84.0,90.3,73.2,6091.1,2505.2,16.3,23.7,36.5,63.11 yds,13.2,32.5,24.3,83.9,0.0,I7,78.5,-7.1,0.0,15.0,-22.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
One Iron,Callaway Hex Tour,2023-01-28 11:55:11,123.2,131.2,93.4,6223.5,597.1,0.3,26.0,48.1,22.09 ft,27.6,5.5,5.5,123.1,0.0,I7,77.3,-5.4,0.0,1.2,-6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
One Iron,Callaway Hex Tour,2023-01-28 11:55:11,110.9,123.6,85.6,5383.7,453.5,-1.1,24.8,43.8,11.71 yds,21.2,1.1,4.8,110.7,0.0,I7,78.3,-5.4,0.0,-0.6,-4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
One Iron,Callaway Hex Tour,2023-01-28 11:55:11,94.1,101.6,78.1,6901.6,2254.9,10.3,31.7,48.7,48.37 yds,23.1,27.1,19.1,94.0,0.0,I7,80.0,-10.3,0.0,14.1,-24.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
One Iron,Callaway Hex Tour,2023-01-28 11:55:11,98.7,111.2,79.6,5843.8,553.6,0.7,24.7,41.8,24.65 yds,17.8,4.2,5.4,98.6,0.0,I7,73.3,-4.8,0.0,1.6,-6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
