Carry,TotalDistance,BallSpeed,BackSpin,SideSpin,HLA,VLA,Decent,DistanceToPin,PeakHeight,Offline,rawSpinAxis,rawCarryGame,rawCarryLM,Club,ClubSpeed,Path,AoA,FaceToTarget,FaceToPath,Lie,Loft,DynamicLoft,CR,HI,VI,SmashFactor
102.1035,115.4824,81.51651,5643.178,-133.2658,-4.699374,22.91067,39.11666,22.61 yds,17.13246,-9.138998,-1.353188,101.9972,0,I7,69.51351,-3.297567,0,-5.2187,1.921133,0,0,0,0,0,0,0
127.8811,136.9142,95.67374,6103.559,616.996,1.80704,23.78007,46.79493,10.49 yds,26.33121,9.423512,5.80182,127.7938,0,I7,74.55677,-4.244063,0,2.846387,-7.09045,0,0,0,0,0,0,0
119.8695,129.5518,90.59269,5506.956,835.3191,-0.377066,24.7194,45.36082,27.51 ft,24.01189,6.14743,8.72455,119.8379,0,I7,73.78741,-8.654759,0,0.859336,-9.514095,0,0,0,0,0,0,0
124.467,132.2292,94.68333,6802.15,673.7899,3.412047,24.72828,47.72148,14.17 yds,27.04554,12.64944,5.68478,124.438,0,I7,75.74331,-3.092523,0,4.624908,-7.717431,0,0,0,0,0,0,0
113.4364,124.1217,87.43043,5822.096,-572.5845,-1.499179,26.82792,47.06635,13.93 yds,24.57187,-7.134402,-5.64398,113.265,0,I7,66.43199,4.803148,0,-2.556762,7.35991,0,0,0,0,0,0,0
110.5937,122.9662,85.75565,5786.911,436.2852,-1.151186,25.05916,43.96545,12.26 yds,21.67622,0.7799269,4.32373,110.4463,0,I7,75.89249,-5.354691,0,-0.5857759,-4.768915,0,0,0,0,0,0,0
124.2112,132.695,94.34779,6796.538,601.3614,-1.323208,22.40044,45.17347,9.76 ft,24.04976,1.722461,5.0762,124.1053,0,I7,78.10573,-6.952982,0,-0.551728,-6.401255,0,0,0,0,0,0,0
114.6583,125.7121,88.51975,6397.555,-29.68907,-1.997137,23.28809,43.84667,10.6 yds,21.59454,-4.192121,-0.2658929,114.4868,0,I7,77.59383,-1.717363,0,-2.16971,0.4523469,0,0,0,0,0,0,0
94.02312,103.9205,76.73798,5552.92,709.5093,0.2216629,29.96781,46.61897,31.74 yds,20.88744,4.13117,7.34088,93.88137,0,I7,76.26823,-6.580596,0,1.272272,-7.852868,0,0,0,0,0,0,0
109.0562,122.8303,84.91416,5459.452,221.2493,-3.855238,23.01805,41.30587,14.04 yds,18.98107,-5.810378,2.3226,108.9426,0,I7,77.52379,-5.942068,0,-3.788214,-2.153854,0,0,0,0,0,0,0
129.7694,136.5479,98.70818,7199.305,427.4839,-2.051802,25.7546,49.92924,5.23 ft,31.13803,-1.118114,3.40414,129.7321,0,I7,77.77731,-6.070706,0,-1.573115,-4.497591,0,0,0,0,0,0,0
