Carry,TotalDistance,BallSpeed,BackSpin,SideSpin,HLA,VLA,Decent,DistanceToPin,PeakHeight,Offline,rawSpinAxis,rawCarryGame,rawCarryLM,Club,ClubSpeed,Path,AoA,FaceToTarget,FaceToPath,Lie,Loft,DynamicLoft,CR,HI,VI,SmashFactor
104.4738,117.9518,82.09531,5131.651,-77.05817,-5.605748,24.64245,41.48822,21.58 yds,18.98725,-10.70326,-0.8604002,104.3561,0,I7,72.7578,-4.831326,0,-6.088483,1.257158,0,0,0,0,0,0,0
118.4794,127.6632,91.667,7015.174,1038.735,-0.04547906,26.2062,48.23014,11.28 yds,26.76819,7.188972,8.51508,118.3509,0,I7,73.00763,-10.44885,0,1.536304,-11.98516,0,0,0,0,0,0,0
93.48232,106.9523,78.07159,5295.003,-516.1546,-9.899096,20.44176,33.63032,37.36 yds,13.04387,-18.60468,-5.594051,93.21789,0,I7,73.54187,-4.76713,0,-11.32499,6.557856,0,0,0,0,0,0,0
124.3305,133.3498,93.71921,6108.775,658.0181,-0.1764414,24.46578,46.61078,18.3 ft,25.92221,5.091872,6.18372,124.2276,0,I7,74.43661,-6.640273,0,0.7967105,-7.436984,0,0,0,0,0,0,0
83.00479,106.374,93.67475,1814.399,317.7821,-4.434539,7.34518,10.50789,29.28 yds,3.296426,-4.152026,10.08707,82.16029,0,I7,78.21378,-7.405418,0,-4.270544,-3.134874,0,0,0,0,0,0,0
84.35513,88.22977,73.77521,9643.199,-757.6611,-13.8957,32.91695,51.10746,55.45 yds,22.24773,-22.50675,-4.506344,84.29161,0,I7,76.0061,-6.606741,0,-15,8.393259,0,0,0,0,0,0,0
123.2171,129.2398,94.03188,6893.104,250.634,-6.561276,25.03485,47.96032,14.3 yds,27.09293,-12.17076,2.08374,123.0847,0,I7,75.60625,-8.985216,0,-6.618984,-2.366232,0,0,0,0,0,0,0
131.7674,139.4852,98.62856,6697.199,39.20407,-7.689306,23.33317,47.146,18.55 yds,27.91973,-17.28087,0.3354,131.6858,0,I7,77.90658,-8.057264,0,-8.133601,0.07633686,0,0,0,0,0,0,0
105.1177,114.5342,83.18685,6070.432,377.3747,-1.934372,28.95112,47.23949,20.67 yds,24.1581,-1.201541,3.56415,104.9682,0,I7,78.04542,-5.469987,0,-1.521664,-3.948323,0,0,0,0,0,0,0
95.24334,103.9771,77.91232,7125.334,-441.1471,-13.06117,26.87728,44.57282,42.99 yds,19.30107,-23.41461,-3.549594,95.0749,0,I7,76.49936,-8.844555,0,-14.55339,5.708831,0,0,0,0,0,0,0
128.8765,134.5621,98.50246,7376.16,534.105,-2.129828,26.08977,50.88414,2.2 ft,31.44313,-0.497557,4.1524,128.7654,0,I7,78.25551,-7.12042,0,-1.508202,-5.612218,0,0,0,0,0,0,0
136.6836,143.0287,102.9252,6844.023,911.3519,-0.882133,26.11477,51.46774,10.48 yds,34.28116,6.532464,7.65225,136.687,0,I7,79.17046,-9.299228,0,0.342639,-9.641867,0,0,0,0,0,0,0
114.3269,120.7766,90.03622,8121.993,-508.2639,-5.026005,26.32436,48.97126,20.59 yds,26.27264,-13.02633,-3.587841,114.2812,0,I7,72.53048,0.09797377,0,-6.133583,6.231557,0,0,0,0,0,0,0
113.7484,118.8975,90.53316,8468.987,119.1234,0.1297981,28.06895,50.48797,16.3 yds,28.60288,0.9536933,0.80594,113.7142,0,I7,75.6411,-1.021725,0,0.3136552,-1.33538,0,0,0,0,0,0,0
99.05145,107.7819,81.03025,7566.642,-338.2652,-10.83596,20.86497,38.22728,36.92 yds,15.49961,-20.09402,-2.56225,98.96281,0,I7,78.16325,-7.671543,0,-12.02309,4.351548,0,0,0,0,0,0,0
