Carry,TotalDistance,BallSpeed,BackSpin,SideSpin,HLA,VLA,Decent,DistanceToPin,PeakHeight,Offline,rawSpinAxis,rawCarryGame,rawCarryLM,Club,ClubSpeed,Path,AoA,FaceToTarget,FaceToPath,Lie,Loft,DynamicLoft,CR,HI,VI,SmashFactor
129.7123,147.1,95.0371,4675.66,-250.1635,-4.843942,20.59628,40.99332,15.68 yds,21.47457,-13.53868,-3.066982,129.5358,0,I7,72.48348,-2.320324,0,-5.543561,3.223237,0,0,0,0,0,0,0
121.4638,136.9921,91.82016,5557.677,-317.9582,-3.484674,20.65265,40.52628,14.77 yds,20.14752,-9.984811,-3.279718,121.3617,0,I7,78.28825,-0.5149773,0,-4.163796,3.648819,0,0,0,0,0,0,0
140.7673,152.5357,102.2711,5705.078,-356.6165,-5.047757,20.16712,43.74017,18.72 yds,25.57997,-16.17857,-3.583816,140.6533,0,I7,77.56881,-1.686104,0,-5.888296,4.202192,0,0,0,0,0,0,0
125.3646,138.0722,94.94079,6699.875,302.0515,0.5381864,20.95394,43.49022,26.12 ft,22.6637,3.51904,2.58395,125.238,0,I7,79.69111,-2.233283,0,0.9953831,-3.228666,0,0,0,0,0,0,0
131.353,141.2837,97.47955,6073.521,265.8997,0.9090428,22.61582,45.91013,20.24 ft,26.06944,4.518243,2.50922,131.208,0,I7,75.76665,-1.657072,0,1.35909,-3.016162,0,0,0,0,0,0,0
129.8945,146.2193,96.26038,5333.252,-303.7821,-5.233632,19.19267,39.64298,16.89 yds,20.68199,-14.71105,-3.265335,129.7467,0,I7,75.649,-2.297351,0,-6.021469,3.724118,0,0,0,0,0,0,0
137.1331,147.6255,100.4213,5856.471,22.48105,-1.622874,22.60779,46.85513,13.04 ft,27.86096,-3.649793,0.21994,136.9712,0,I7,75.54343,-1.840464,0,-1.69533,-0.1451344,0,0,0,0,0,0,0
123.4809,140.5278,91.60445,4387.453,-256.1239,-3.198496,20.94303,39.84517,12.38 yds,19.85784,-9.413085,-3.346627,123.2698,0,I7,69.63936,-0.5092277,0,-3.816278,3.307051,0,0,0,0,0,0,0
103.3655,118.2105,82.79122,4758.462,-263.3364,-3.602663,19.86207,35.09352,29.51 yds,14.44737,-8.224453,-3.172406,103.1781,0,I7,72.65569,-0.9524553,0,-4.240795,3.288339,0,0,0,0,0,0,0
100.9933,114.5563,81.83079,5791.974,606.8678,6.613,20.56705,36.07692,36.84 yds,14.9981,14.9554,6.01434,100.7576,0,I7,75.06573,0.7015954,0,7.943793,-7.242198,0,0,0,0,0,0,0
126.1341,142.0719,94.42506,5528.207,-191.3695,-2.259267,19.61324,40.48324,25.77 ft,20.31371,-6.655735,-1.9838,126.0625,0,I7,75.93723,-0.4165589,0,-2.686978,2.270419,0,0,0,0,0,0,0
