Carry,TotalDistance,BallSpeed,BackSpin,SideSpin,HLA,VLA,Decent,DistanceToPin,PeakHeight,Offline,rawSpinAxis,rawCarryGame,rawCarryLM,Club,ClubSpeed,Path,AoA,FaceToTarget,FaceToPath,Lie,Loft,DynamicLoft,CR,HI,VI,SmashFactor
135.5957,143.4052,101.3681,7038.69,189.4535,-1.330062,22.87424,48.30236,8.23 ft,29.18313,-1.459225,1.54236,135.5209,0,I6,81.08215,-3.038569,0,-1.156354,-1.882216,0,0,0,0,0,0,0
140.8263,150.0925,103.1365,6196.894,7.284318,-1.425392,22.54434,47.37507,17.03 ft,29.64065,-3.426596,0.06735,140.7893,0,I6,78.26336,-1.493435,0,-1.507778,0.01434231,0,0,0,0,0,0,0
125.118,133.3313,95.89122,7475.774,-238.3624,-4.136274,25.20102,48.75768,17.34 yds,28.66726,-10.78898,-1.827165,125.0382,0,I6,78.19462,-1.907328,0,-4.744957,2.83763,0,0,0,0,0,0,0
118.4725,125.7338,91.88472,7695.186,-242.6069,-4.104258,24.65248,46.89008,23.09 yds,25.50075,-10.05342,-1.806669,118.4002,0,I6,78.39323,-1.841369,0,-4.716029,2.87466,0,0,0,0,0,0,0
112.9753,124.9931,87.01234,5525.565,-61.37556,-1.608547,22.65886,41.58202,21.17 yds,19.78506,-3.612458,-0.6364295,112.8151,0,I6,78.46042,-1.036564,0,-1.800346,0.7637825,0,0,0,0,0,0,0
127.6332,150.4956,106.7741,2669.033,889.3881,4.187194,8.742344,17.62937,26.56 yds,7.674242,20.64683,19.46463,127.2015,0,I6,78.42838,-4.104759,0,5.722766,-9.827525,0,0,0,0,0,0,0
150.7791,160.4669,109.6916,6281.575,194.7525,-2.566962,23.40157,50.46249,15.41 yds,35.29308,-4.448011,1.77667,150.7928,0,I6,80.75254,-4.330437,0,-2.465366,-1.86507,0,0,0,0,0,0,0
123.519,137.4965,92.58543,5206.434,-533.1824,-6.275936,20.60766,40.07298,22.89 yds,20.32042,-18.17585,-5.877872,123.4098,0,I6,81.0107,-1.46342,0,-7.417401,5.953981,0,0,0,0,0,0,0
111.9633,120.1498,88.99936,5010.867,2012.832,12.22083,18.73081,34.92617,53.21 yds,15.19548,37.93226,23.68408,111.7674,0,I6,79.36627,-6.323455,0,15,-21.32346,0,0,0,0,0,0,0
99.32513,122.0042,98.02625,3013.052,437.5545,0.5132389,6.558081,12.82436,24.54 yds,4.25485,4.106064,8.35,98.76106,0,I6,78.74651,-3.549691,0,1.16554,-4.715231,0,0,0,0,0,0,0
117.6433,138.8379,100.293,3558.949,806.8625,5.000555,8.798312,19.4761,24 yds,7.509496,17.77421,13.10367,117.3248,0,I6,83.78239,-2.041273,0,6.398622,-8.439896,0,0,0,0,0,0,0
