Carry,TotalDistance,BallSpeed,BackSpin,SideSpin,HLA,VLA,Decent,DistanceToPin,PeakHeight,Offline,rawSpinAxis,rawCarryGame,rawCarryLM,Club,ClubSpeed,Path,AoA,FaceToTarget,FaceToPath,Lie,Loft,DynamicLoft,CR,HI,VI,SmashFactor
92.04514,95.4531,80.3537,9293.768,-265.81,-5.864784,35.88977,55.3385,14.67 yds,29.18629,-10.42358,-1.638933,91.92439,0,PW,74.93588,-3.271082,0,-6.641505,3.370424,0,0,0,0,0,0,0
92.2602,99.58026,76.23491,6719.87,-499.4826,-6.977598,29.80134,47.1139,15.91 yds,20.77454,-13.42859,-4.262681,92.1993,0,PW,73.37253,-1.999935,0,-8.189878,6.189944,0,0,0,0,0,0,0
103.7883,109.6532,84.33736,6417.93,-265.3026,-7.041665,33.71633,53.17495,15.7 yds,29.69982,-14.33769,-2.369152,103.8195,0,PW,75.37376,-4.467952,0,-7.891921,3.423969,0,0,0,0,0,0,0
122.4379,140.4491,103.0319,3013.671,768.7106,4.993751,8.832839,18.47601,41.05 yds,7.613114,19.19079,14.778,122.1632,0,PW,79.87235,-2.043546,0,6.390685,-8.434231,0,0,0,0,0,0,0
105.0004,109.5626,86.66328,8328.397,-396.9089,-5.382523,32.77864,53.78528,13.18 yds,30.76802,-11.92905,-2.731597,105.0053,0,PW,78.08604,-1.665834,0,-6.298927,4.633093,0,0,0,0,0,0,0
105.8349,113.059,84.27946,6550.519,-897.4955,-8.332037,29.87317,49.41742,23.19 yds,25.80232,-20.66064,-7.874943,105.7419,0,PW,76.8221,0.2104591,0,-10.17548,10.38594,0,0,0,0,0,0,0
119.0907,124.4273,93.12262,7508.247,-256.3701,-6.252831,28.30465,51.22153,24.31 yds,30.42895,-14.71637,-1.956753,118.9424,0,PW,80.85274,-3.934309,0,-7.012886,3.078577,0,0,0,0,0,0,0
77.11623,83.13755,69.83955,5651.439,-460.5111,-9.265944,40.70559,54.35706,27.68 yds,24.84736,-14.17364,-4.673965,77.04948,0,PW,75.61626,-4.812833,0,-10.54722,5.734391,0,0,0,0,0,0,0
99.0894,103.6438,82.23016,9351.847,-894.0544,-8.36092,29.97713,50.14009,19.32 yds,25.14348,-18.12962,-5.485964,99.03637,0,PW,78.9553,-0.08109186,0,-10.16623,10.08514,0,0,0,0,0,0,0
92.36524,97.64104,76.99086,4666.595,531.6447,-0.5343952,37.36726,52.729,22.77 ft,27.31949,2.412147,6.54166,92.37276,0,PW,78.62527,-5.47862,0,0.1839833,-5.662603,0,0,0,0,0,0,0
97.10795,99.08031,81.45049,9051.957,1883.738,14.54558,31.6471,51.88484,34.59 yds,25.90501,31.98247,12.0112,97.13356,0,PW,82.58787,-2.132381,0,15,-17.13238,0,0,0,0,0,0,0
107.2144,110.3983,88.56915,8389.362,-549.167,-6.669355,33.00242,54.28402,16.6 yds,32.33929,-15.43374,-3.753261,107.1582,0,PW,78.16308,-1.531978,0,-7.885907,6.353929,0,0,0,0,0,0,0
85.90485,90.43484,73.39013,8750.496,-559.4122,-6.465259,29.43489,46.50626,19.39 yds,19.15564,-11.47449,-3.665373,85.75056,0,PW,77.42473,-1.182135,0,-7.690732,6.508597,0,0,0,0,0,0,0
81.21941,85.43501,72.22011,6849.542,1688.512,9.642908,38.47225,54.03015,30.36 yds,24.90398,19.73564,14.27136,81.11375,0,PW,80.8343,-5.630905,0,12.59703,-18.22794,0,0,0,0,0,0,0
107.8176,114.33,85.91006,5892.941,-446.3573,-7.621453,32.8933,52.29861,20.24 yds,29.91178,-17.35364,-4.343995,107.8035,0,PW,77.71571,-3.421809,0,-8.757114,5.335305,0,0,0,0,0,0,0
119.2473,125.1699,92.85783,4843.3,1396.841,9.252619,16.50835,33.57448,36.49 yds,14.83054,30.62436,16.7626,119.0153,0,PW,81.68622,-3.251026,0,11.75937,-15.01039,0,0,0,0,0,0,0
111.5466,117.1356,90.48202,7215.791,37.06377,-4.486757,33.33643,54.29451,15.02 yds,33.94793,-8.482963,0.2943,111.5413,0,PW,80.46458,-4.823566,0,-4.727406,-0.09616041,0,0,0,0,0,0,0
