Carry,TotalDistance,BallSpeed,BackSpin,SideSpin,HLA,VLA,Decent,DistanceToPin,PeakHeight,Offline,rawSpinAxis,rawCarryGame,rawCarryLM,Club,ClubSpeed,Path,AoA,FaceToTarget,FaceToPath,Lie,Loft,DynamicLoft,CR,HI,VI,SmashFactor
128.8315,136.4343,97.79795,7406.589,284.4932,-3.383275,23.69541,47.81134,18.18 ft,28.03791,-5.372217,2.20132,128.8063,0,I8,80.10516,-5.980146,0,-3.207845,-2.772301,0,0,0,0,0,0,0
128.1758,137.5468,95.47908,5329.615,-882.9932,-6.48236,27.62156,49.50028,25.32 yds,30.57258,-23.11554,-9.53655,128.1209,0,I8,74.71315,5.276163,0,-8.695341,13.9715,0,0,0,0,0,0,0
116.3056,123.5745,92.09496,8091.914,-114.5493,-1.758802,28.68645,51.76828,11.46 yds,30.27694,-4.291182,-0.8111072,116.2331,0,I8,75.61488,0,0,0,0,0,0,0,0,0,0,0
132.4205,137.909,101.55,7532.997,-80.50198,-2.486748,27.05219,52.2437,23.08 ft,34.88486,-6.424457,-0.6123077,132.3974,0,I8,80.94352,0,0,0,0,0,0,0,0,0,0,0
136.163,144.2149,101.0871,6291.835,-319.2705,-4.469018,25.10476,49.53725,17.48 yds,31.719,-13.71999,-2.908645,136.0147,0,I8,78.53462,-1.200579,0,-5.257699,4.05712,0,0,0,0,0,0,0
126.3003,133.2917,96.97893,7137.366,-3.433367,-2.930173,27.35877,51.45745,20.71 ft,31.93601,-6.477726,-0.02756163,126.1841,0,I8,80.61655,0,0,0,0,0,0,0,0,0,0,0
143.9319,151.2471,105.73,6040.495,-311.2931,-5.282146,25.73893,51.05703,24.03 yds,35.77342,-16.74156,-2.954011,143.8284,0,I8,80.30843,-2.198326,0,-6.095614,3.897288,0,0,0,0,0,0,0
128.4871,137.9272,96.14759,6123.093,-183.0546,-3.934658,25.04167,47.94727,11.83 yds,28.29303,-10.4418,-1.713157,128.4487,0,I8,78.5509,-1.849014,0,-4.508393,2.659379,0,0,0,0,0,0,0
138.2525,146.6332,102.7529,6453.433,161.9558,-4.749977,25.30987,50.17697,16.07 yds,33.20283,-9.831548,1.43805,138.2019,0,I8,83.58514,-6.420013,0,-4.804664,-1.615349,0,0,0,0,0,0,0
142.4738,150.91,105.1498,6624.513,301.2908,-3.157806,23.5019,49.24864,17.54 yds,32.4065,-4.758532,2.60678,142.4081,0,I8,81.24802,-5.957065,0,-2.936876,-3.02019,0,0,0,0,0,0,0
143.1806,151.6556,104.4822,5979.764,-294.3461,-5.095999,24.00788,49.11814,23.87 yds,32.47323,-15.96886,-2.82145,143.173,0,I8,80.61317,-2.074947,0,-5.887794,3.812847,0,0,0,0,0,0,0
125.153,132.2558,96.85287,6895.893,-1300.092,1.057941,29.01746,52.24409,28.12 ft,33.43942,-8.256118,-10.86708,125.1404,0,I8,74.92445,0,0,0,0,0,0,0,0,0,0,0
128.6892,135.0937,98.47591,7468.56,80.34157,-2.068696,26.10667,50.90655,12.94 ft,31.52397,-4.004201,0.61636,128.6099,0,I8,82.34294,0,0,0,0,0,0,0,0,0,0,0
124.2796,129.9259,96.5453,7614.924,-348.4992,-0.03251441,27.91055,51.96788,15.02 ft,32.38268,-2.665591,-2.623075,124.1733,0,I8,78.37517,0,0,0,0,0,0,0,0,0,0,0
139.3716,148.6244,101.6003,5739.7,-364.9612,-4.219651,22.92136,47.50116,20.63 yds,28.95902,-14.15353,-3.645635,139.3908,0,I8,75.24976,-0.6543443,0,-5.037327,4.382983,0,0,0,0,0,0,0
138.6815,146.5126,104.0237,6651.34,-68.38756,-0.7051873,26.62402,51.96682,12.76 yds,35.91007,-2.388616,-0.5891125,138.6209,0,I8,80.45448,-0.0639629,0,-0.8487515,0.7847887,0,0,0,0,0,0,0
129.5044,139.0244,96.004,5461.173,-747.1891,-3.066425,25.91077,47.97387,16.23 yds,28.92972,-14.22553,-7.863783,129.4222,0,I8,75.7435,6.24105,0,-4.683762,10.92481,0,0,0,0,0,0,0
