Carry,TotalDistance,BallSpeed,BackSpin,SideSpin,HLA,VLA,Decent,DistanceToPin,PeakHeight,Offline,rawSpinAxis,rawCarryGame,rawCarryLM,Club,ClubSpeed,Path,AoA,FaceToTarget,FaceToPath,Lie,Loft,DynamicLoft,CR,HI,VI,SmashFactor
149.2479,159.7909,107.3189,5780.859,829.1143,5.906344,20.07354,45.56758,36.09 yds,28.36031,25.11346,8.24603,149.1735,0,I4,84.24302,-2.136706,0,7.515866,-9.652573,0,0,0,0,0,0,0
152.5332,166.5461,107.0169,4679.261,649.9114,3.922279,19.22025,43.37689,27.11 yds,26.3292,19.53022,7.98373,152.3921,0,I4,81.09934,-3.510921,0,5.309799,-8.820721,0,0,0,0,0,0,0
150.2094,161.4792,108.5672,5943.104,1352.033,4.345873,20.948,46.85988,37.59 yds,30.09936,27.29928,13.1497,150.0855,0,I4,78.43684,-7.865788,0,6.488858,-14.35465,0,0,0,0,0,0,0
158.2819,169.4183,113.5853,6078.672,1340.416,3.12796,17.84105,45.03333,31.43 yds,28.46706,25.45397,12.73907,158.1277,0,I4,83.53654,-6.791774,0,4.842567,-11.63434,0,0,0,0,0,0,0
163.6179,176.8127,114.1581,5235.53,565.2849,1.04669,18.71211,45.82455,13.66 yds,30.34104,11.42135,6.19836,163.5856,0,I4,83.89354,-3.994131,0,1.882665,-5.876796,0,0,0,0,0,0,0
164.0863,181.1787,112.478,4213.905,-95.15421,-3.017521,16.14984,40.39642,11.46 yds,24.4568,-10.23081,-1.293906,163.9149,0,I4,82.73035,-2.141849,0,-3.347263,1.205414,0,0,0,0,0,0,0
157.3304,172.9969,108.4583,4285.779,317.4634,1.402792,19.4503,43.43626,13.04 yds,27.4328,8.873457,4.248,157.2522,0,I4,84.76524,-2.520554,0,2.091713,-4.612267,0,0,0,0,0,0,0
153.5775,166.8357,109.8286,5722.94,906.5651,1.759075,18.29661,44.48481,23.56 yds,27.11055,15.97728,9.11456,153.4754,0,I4,85.08258,-5.812723,0,3.026947,-8.83967,0,0,0,0,0,0,0
152.3157,168.0738,105.6095,4121.396,229.5267,-1.014835,19.29742,41.98659,12.84 yds,25.39247,0.8059431,3.19254,152.2556,0,I4,79.2593,-3.927141,0,-0.6372403,-3.289901,0,0,0,0,0,0,0
168.3333,186.2874,111.278,3178.571,-163.73,-3.629471,19.47415,41.84932,16.72 yds,27.93408,-14.18362,-2.952645,168.1941,0,I4,83.37684,-0.9764845,0,-4.269771,3.293286,0,0,0,0,0,0,0
