Carry,TotalDistance,BallSpeed,BackSpin,SideSpin,HLA,VLA,Decent,DistanceToPin,PeakHeight,Offline,rawSpinAxis,rawCarryGame,rawCarryLM,Club,ClubSpeed,Path,AoA,FaceToTarget,FaceToPath,Lie,Loft,DynamicLoft,CR,HI,VI,SmashFactor
62.28943,67.06525,60.21368,7858.582,2929.826,17.17208,38.03059,50.14486,33.65 yds,16.83315,23.77655,21.88956,62.16848,0,SW,71.83598,-12.65004,0,15,-27.65004,0,0,0,0,0,0,0
73.48008,80.6591,65.95768,5337.483,2402.854,15.34277,34.29997,46.69209,31.59 yds,17.234,27.20265,26.75555,73.33987,0,SW,73.32462,-8.618853,0,15,-23.61885,0,0,0,0,0,0,0
92.67573,106.2751,77.51022,5413.549,1465.091,10.63839,21.95988,36.03334,34.48 yds,13.89313,24.1778,15.702,92.50158,0,SW,75.0413,-3.637479,0,13.50527,-17.14274,0,0,0,0,0,0,0
66.92758,72.17976,66.19437,6476.511,1123.221,-9.862079,45.44367,58.15765,14.52 yds,25.28798,-8.30565,9.9873,66.90734,0,SW,81.01305,-15,0,-8.959503,-6.040497,0,0,0,0,0,0,0
81.73234,82.47484,71.46701,9254.66,3478.325,26.0399,28.9809,45.78732,47.14 yds,17.1467,44.18728,22.0766,81.19702,0,SW,91.28673,-1.821392,0,15,-16.82139,0,0,0,0,0,0,0
84.33004,87.33387,74.27268,7926.231,107.6603,-10.77192,37.3505,53.92617,16.14 yds,25.96288,-15.36828,0.77826,84.28105,0,SW,71.46371,-11.87349,0,-11.30505,-0.5684433,0,0,0,0,0,0,0
87.82001,92.96391,75.58142,4685.067,358.7065,-4.335268,40.04298,55.11195,10.76 yds,28.50296,-4.593887,4.39108,87.8076,0,SW,74.30256,-7.865277,0,-4.079641,-3.785635,0,0,0,0,0,0,0
84.38564,88.32694,75.68142,7534.449,338.9397,-8.320254,39.84997,56.11882,12.19 yds,28.8396,-10.89793,2.57834,84.29293,0,SW,75.22546,-11.6148,0,-8.359799,-3.255002,0,0,0,0,0,0,0
84.23918,87.49181,74.79874,8045.756,64.04713,-8.932049,38.1799,54.9822,13.73 yds,26.9948,-12.84171,0.4561,84.1869,0,SW,76.09366,-9.547483,0,-9.419512,-0.1279716,0,0,0,0,0,0,0
76.23623,79.79147,68.65398,8719.49,-1500.251,-14.60616,35.08932,50.61315,25.42 yds,20.43219,-23.15242,-9.907453,76.22676,0,SW,74.71273,0.07661418,0,-15,15.07661,0,0,0,0,0,0,0
58.65368,62.38558,59.20016,6250.742,-1076.417,-16.44753,43.87888,54.61918,31.43 yds,19.45932,-18.80418,-9.916125,58.61913,0,SW,72.40292,-5.57668,0,-15,9.423321,0,0,0,0,0,0,0
83.21322,86.54229,72.6191,8865.905,3653.594,17.19528,27.59398,43.68855,36.89 yds,16.49827,34.79026,24.3365,83.09291,0,SW,73.8382,-15,0,15,-30,0,0,0,0,0,0,0
