Carry,TotalDistance,BallSpeed,BackSpin,SideSpin,HLA,VLA,Decent,DistanceToPin,PeakHeight,Offline,rawSpinAxis,rawCarryGame,rawCarryLM,Club,ClubSpeed,Path,AoA,FaceToTarget,FaceToPath,Lie,Loft,DynamicLoft,CR,HI,VI,SmashFactor
114.8101,140.4672,117.5818,2009.804,52.62806,-0.8694483,2.683567,8.32702,89.61 yds,2.966891,-1.046283,1.5005,94.38591,0,DR-NS,85.22971,-1.32095,0,-0.8572466,-0.4637029,0,0,0,0,0,0,0
48.73265,62.78783,53.25131,4063.588,0,-11.57791,24.65687,29.1629,169.02 yds,6.628762,-9.7282,0,48.47131,0,DR-NS,42.15501,0,0,0,0,0,0,0,0,0,0,0
137.8186,161.3121,120.4673,2402.047,-927.4512,-4.48212,5.784382,12.68536,78.03 yds,5.66681,-24.11693,-22.71259,137.0899,0,DR-NS,87.48212,3.269821,0,-5.954623,9.224444,0,0,0,0,0,0,0
181.2185,189.8615,122.9236,4791.871,675.8528,5.506262,17.77845,46.8097,53.54 yds,33.76665,30.06918,8.10812,181.1147,0,DR-NS,88.27878,-0.09176432,0,6.717301,-6.809066,0,0,0,0,0,0,0
192.3456,209.9098,126.9911,3855.88,221.6455,2.088828,12.81094,38.41552,24.72 yds,25.66235,12.13285,3.29532,192.1926,0,DR-NS,91.54891,0.3185419,0,2.494416,-2.175874,0,0,0,0,0,0,0
158.999,180.6607,123.6058,2492.565,-782.2562,-4.192902,6.871847,17.75885,61.48 yds,8.555377,-26.4591,-18.29055,158.5032,0,DR-NS,88.70834,2.255072,0,-5.447953,7.703025,0,0,0,0,0,0,0
200.7484,215.7596,130.9712,4129.281,98.906,2.427302,16.48216,46.25189,18.87 yds,35.93488,10.94268,1.3725,200.6216,0,DR-NS,90.30945,1.626496,0,2.707235,-1.080739,0,0,0,0,0,0,0
148.0866,173.4525,130.0813,2137.292,431.1664,2.640406,2,10.12219,60.2 yds,4.457924,9.39488,11.63843,114.145,0,DR-NS,91.61446,-0.8008649,0,3.336426,-4.13729,0,0,0,0,0,0,0
189.609,206.3036,127.0324,4490.585,-77.37723,-0.1369374,13.51364,41.61757,23.88 yds,28.10478,-2.056767,-0.9873119,189.5553,0,DR-NS,93.35071,0.4691484,0,-0.2381728,0.7073212,0,0,0,0,0,0,0
177.6018,190.7372,121.8457,5190.829,125.4049,0.3262281,17.4589,46.43936,39.51 yds,33.15239,3.18576,1.38434,177.5551,0,DR-NS,90.66812,-0.6851196,0,0.5015141,-1.186634,0,0,0,0,0,0,0
184.7195,197.1729,125.8975,5141.467,-236.2195,0.9681564,17.62425,48.10136,32.93 yds,35.97162,-1.319554,-2.633324,184.7429,0,DR-NS,90.92083,2.867883,0,0.7417702,2.126112,0,0,0,0,0,0,0
