Carry,TotalDistance,BallSpeed,BackSpin,SideSpin,HLA,VLA,Decent,DistanceToPin,PeakHeight,Offline,rawSpinAxis,rawCarryGame,rawCarryLM,Club,ClubSpeed,Path,AoA,FaceToTarget,FaceToPath,Lie,Loft,DynamicLoft,CR,HI,VI,SmashFactor
177.459,194.7295,119.9877,3934.284,452.044,1.634203,13.24527,37.43444,39.47 yds,22.86029,14.01186,6.59778,177.3092,0,DR-NS,85.549,-1.811799,0,2.26547,-4.077269,0,0,0,0,0,0,0
176.4323,194.3141,123.8953,4259.662,380.8722,1.599615,8.779914,31.59513,38.7 yds,16.95461,11.76841,5.12988,176.3385,0,DR-NS,90.07005,-0.4527561,0,2.016339,-2.469095,0,0,0,0,0,0,0
178.7077,186.3581,125.9402,5798.003,845.4802,7.134512,21.30543,52.09192,61.13 yds,42.73805,36.28215,8.38492,178.646,0,DR-NS,91.1384,0.0060298,0,8.684637,-8.678607,0,0,0,0,0,0,0
115.7878,126.2846,119.3106,2878.148,-1439.074,-12.45383,3.258354,9.020878,118.96 yds,3.28,-33.47653,-30,105.759,0,DR-NS,91.10576,4.428786,0,-15,19.42879,0,0,0,0,0,0,0
175.7281,195.276,117.1463,2937.585,-57.18945,-3.364135,13.62424,33.21943,37.57 yds,20.472,-11.62788,-1.115515,175.4903,0,DR-NS,88.79195,-2.758054,0,-3.675364,0.9173102,0,0,0,0,0,0,0
167.1232,179.8994,123.5268,2191.749,-803.2038,-6.750049,9.055202,19.90268,69.4 yds,11.05198,-37.73386,-21.49789,166.8208,0,DR-NS,90.79772,2.574075,0,-8.609618,11.18369,0,0,0,0,0,0,0
178.152,181.0692,128.5868,3823.108,1911.554,4.731476,10.01985,30.74708,77.15 yds,16.58267,50.46199,30,177.2842,0,DR-NS,103.274,-15,0,8.548565,-23.54856,0,0,0,0,0,0,0
175.9599,178.6688,121.8648,5053.491,1663.059,8.991952,17.42863,45.55763,82.83 yds,31.12695,55.06549,19.21362,175.4107,0,DR-NS,91.95718,-5.926711,0,11.84962,-17.77633,0,0,0,0,0,0,0
171.7712,187.2457,120.0577,5174.518,1128.883,1.644578,14.09652,40.77798,51.77 yds,25.26399,22.73138,12.6011,171.5878,0,DR-NS,91.27485,-6.285419,0,2.959565,-9.244984,0,0,0,0,0,0,0
200.1084,218.1251,129.4135,3450.132,-593.7874,-2.231871,14.1811,40.55014,30.34 yds,28.4338,-23.67303,-9.910271,199.9776,0,DR-NS,93.43397,4.01054,0,-3.328004,7.338544,0,0,0,0,0,0,0
183.4044,196.8708,124.8945,5089.685,272.5431,3.220452,17.20716,46.59157,37.83 yds,34.50041,15.34447,3.06955,183.2515,0,DR-NS,92.92022,1.013,0,3.766269,-2.753269,0,0,0,0,0,0,0
