+----------------+----------------------+---------------------+-------+----------------+------------+-----------+-----------+-------+------+--------+-----------------+-------------+---------+---------------+----------------+--------------+------+------------+-------+-----+----------------+--------------+-----+------+--------------+-----+-----+-----+--------------+
|      Mfg       |         Ball         |     PracticeDtTm    | Carry | Total_Distance | Ball_Speed | Back_Spin | Side_Spin |  HLA  | VLA  | Decent | Distance_To_Pin | Peak_Height | Offline | raw_Spin_Axis | raw_Carry_Game | raw_Carry_LM | Club | Club_Speed |  Path | AoA | Face_To_Target | Face_To_Path | Lie | Loft | Dynamic_Loft |  CR |  HI |  VI | Smash_Factor |
+----------------+----------------------+---------------------+-------+----------------+------------+-----------+-----------+-------+------+--------+-----------------+-------------+---------+---------------+----------------+--------------+------+------------+-------+-----+----------------+--------------+-----+------+--------------+-----+-----+-----+--------------+
| PGX One Length |    Bridgestone e6    | 2023-01-28 16:17:54 | 102.1 |     115.5      |    81.5    |   5643.2  |   -133.3  |  -4.7 | 22.9 |  39.1  |    22.61 yds    |     17.1    |   -9.1  |      -1.4     |     102.0      |     0.0      |  I7  |    69.5    |  -3.3 | 0.0 |      -5.2      |     1.9      | 0.0 | 0.0  |     0.0      | 0.0 | 0.0 | 0.0 |     0.0      |
| PGX One Length |    Bridgestone e6    | 2023-01-28 16:17:54 | 127.9 |     136.9      |    95.7    |   6103.6  |   617.0   |  1.8  | 23.8 |  46.8  |    10.49 yds    |     26.3    |   9.4   |      5.8      |     127.8      |     0.0      |  I7  |    74.6    |  -4.2 | 0.0 |      2.8       |     -7.1     | 0.0 | 0.0  |     0.0      | 0.0 | 0.0 | 0.0 |     0.0      |
| PGX One Length |    Bridgestone e6    | 2023-01-28 16:17:54 | 119.9 |     129.6      |    90.6    |   5507.0  |   835.3   |  -0.4 | 24.7 |  45.4  |     27.51 ft    |     24.0    |   6.1   |      8.7      |     119.8      |     0.0      |  I7  |    73.8    |  -8.7 | 0.0 |      0.9       |     -9.5     | 0.0 | 0.0  |     0.0      | 0.0 | 0.0 | 0.0 |     0.0      |
| PGX One Length |    Bridgestone e6    | 2023-01-28 16:17:54 | 124.5 |     132.2      |    94.7    |   6802.1  |   673.8   |  3.4  | 24.7 |  47.7  |    14.17 yds    |     27.0    |   12.6  |      5.7      |     124.4      |     0.0      |  I7  |    75.7    |  -3.1 | 0.0 |      4.6       |     -7.7     | 0.0 | 0.0  |     0.0      | 0.0 | 0.0 | 0.0 |     0.0      |
| PGX One Length |    Bridgestone e6    | 2023-01-28 16:17:54 | 113.4 |     124.1      |    87.4    |   5822.1  |   -572.6  |  -1.5 | 26.8 |  47.1  |    13.93 yds    |     24.6    |   -7.1  |      -5.6     |     113.3      |     0.0      |  I7  |    66.4    |  4.8  | 0.0 |      -2.6      |     7.4      | 0.0 | 0.0  |     0.0      | 0.0 | 0.0 | 0.0 |     0.0      |
| PGX One Length |    Bridgestone e6    | 2023-01-28 16:17:54 | 110.6 |     123.0      |    85.8    |   5786.9  |   436.3   |  -1.2 | 25.1 |  44.0  |    12.26 yds    |     21.7    |   0.8   |      4.3      |     110.4      |     0.0      |  I7  |    75.9    |  -5.4 | 0.0 |      -0.6      |     -4.8     | 0.0 | 0.0  |     0.0      | 0.0 | 0.0 | 0.0 |     0.0      |
| PGX One Length |    Bridgestone e6    | 2023-01-28 16:17:54 | 124.2 |     132.7      |    94.3    |   6796.5  |   601.4   |  -1.3 | 22.4 |  45.2  |     9.76 ft     |     24.0    |   1.7   |      5.1      |     124.1      |     0.0      |  I7  |    78.1    |  -7.0 | 0.0 |      -0.6      |     -6.4     | 0.0 | 0.0  |     0.0      | 0.0 | 0.0 | 0.0 |     0.0      |
| PGX One Length |    Bridgestone e6    | 2023-01-28 16:17:54 | 114.7 |     125.7      |    88.5    |   6397.6  |   -29.7   |  -2.0 | 23.3 |  43.8  |     10.6 yds    |     21.6    |   -4.2  |      -0.3     |     114.5      |     0.0      |  I7  |    77.6    |  -1.7 | 0.0 |      -2.2      |     0.5      | 0.0 | 0.0  |     0.0      | 0.0 | 0.0 | 0.0 |     0.0      |
| PGX One Length |    Bridgestone e6    | 2023-01-28 16:17:54 |  94.0 |     103.9      |    76.7    |   5552.9  |   709.5   |  0.2  | 30.0 |  46.6  |    31.74 yds    |     20.9    |   4.1   |      7.3      |      93.9      |     0.0      |  I7  |    76.3    |  -6.6 | 0.0 |      1.3       |     -7.9     | 0.0 | 0.0  |     0.0      | 0.0 | 0.0 | 0.0 |     0.0      |
