+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                  Carry_Avg                                                                                   |
+----------------+-------+----------------------+------------+-----------+-----------+------------+----------------+------------+----------------+------------+----------------+
|      Mfg       |  Club |         Ball         | Stroke Cnt | Avg Carry | Max Carry | Total Dist | Max Total Dist | Club Speed | Max Club Speed | Ball Speed | Max Ball Speed |
+----------------+-------+----------------------+------------+-----------+-----------+------------+----------------+------------+----------------+------------+----------------+
|    Callaway    | DR-NS |       Vice Pro       |     8      |   190.0   |   212.0   |   207.0    |     234.0      |    89.0    |      92.0      |   125.0    |     133.0      |
|    Callaway    | DR-NS |  Callaway SuperSoft  |     8      |   189.0   |   209.0   |   206.0    |     231.0      |    92.0    |      96.0      |   129.0    |     134.0      |
|    Callaway    | DR-NS |  Callaway Hex Soft   |     6      |   188.0   |   201.0   |   202.0    |     216.0      |    91.0    |      93.0      |   126.0    |     131.0      |
|    Callaway    | DR-NS | Titlelist ProV1 RCT  |     10     |   178.0   |   200.0   |   191.0    |     218.0      |    92.0    |     103.0      |   124.0    |     129.0      |
|     Cobra      |   I9  |  Callaway SuperSoft  |     5      |   122.0   |   129.0   |   126.0    |     134.0      |    81.0    |      83.0      |    96.0    |     100.0      |
|     Cobra      |   I8  |  Titlelist TruFeel   |     7      |   125.0   |   136.0   |   131.0    |     142.0      |    78.0    |      81.0      |    97.0    |     105.0      |
|     Cobra      |   I7  |  Callaway Hex Soft   |     11     |   129.0   |   144.0   |   135.0    |     152.0      |    81.0    |      83.0      |    98.0    |     107.0      |
|     Cobra      |   I6  |  Callaway SuperSoft  |     4      |   160.0   |   172.0   |   170.0    |     183.0      |    84.0    |      87.0      |   112.0    |     117.0      |
|     Cobra      |   I6  |  Callaway Hex Soft   |     7      |   145.0   |   151.0   |   155.0    |     161.0      |    82.0    |      85.0      |   105.0    |     110.0      |
|   Giga Golf    |   I7  |   Maxifli SoftFli    |     6      |   141.0   |   153.0   |   150.0    |     161.0      |    80.0    |      83.0      |   104.0    |     112.0      |
|   Giga Golf    |   I7  | Titlelist ProV1x RCT |     9      |   129.0   |   141.0   |   144.0    |     153.0      |    76.0    |      80.0      |    96.0    |     102.0      |
|   Giga Golf    |   I6  |   Maxifli SoftFli    |     11     |   146.0   |   168.0   |   155.0    |     179.0      |    79.0    |      84.0      |   106.0    |     113.0      |
|   Giga Golf    |   I5  |   Maxifli SoftFli    |     6      |   156.0   |   164.0   |   168.0    |     176.0      |    84.0    |      86.0      |   110.0    |     113.0      |
|   Giga Golf    |   GW  |   Maxifli SoftFli    |     2      |   146.0   |   151.0   |   150.0    |     154.0      |    77.0    |      78.0      |   105.0    |     107.0      |
|    One Iron    |   I6  |       Vice Pro       |     6      |   135.0   |   139.0   |   146.0    |     151.0      |    77.0    |      79.0      |   100.0    |     102.0      |
|    One Iron    |   I4  | Titlelist ProV1 RCT  |     3      |   158.0   |   166.0   |   174.0    |     180.0      |    82.0    |      85.0      |   109.0    |     113.0      |
|    One Iron    |   I4  |   Maxifli SoftFli    |     3      |   157.0   |   159.0   |   166.0    |     168.0      |    85.0    |      86.0      |   112.0    |     114.0      |
| PGX One Length |   SW  |  Titlelist TruFeel   |     11     |    80.0   |    93.0   |    85.0    |     106.0      |    76.0    |      91.0      |    71.0    |      78.0      |
| PGX One Length |   PW  |       Vice Pro       |     4      |   112.0   |   118.0   |   122.0    |     127.0      |    80.0    |      80.0      |    90.0    |      93.0      |
| PGX One Length |   PW  |   Maxifli SoftFli    |     5      |   109.0   |   115.0   |   113.0    |     120.0      |    79.0    |      80.0      |    89.0    |      91.0      |
| PGX One Length |   PW  |  Callaway Hex Soft   |     19     |   106.0   |   126.0   |   113.0    |     136.0      |    78.0    |      83.0      |    86.0    |      98.0      |
| PGX One Length |   PW  |  Callaway SuperSoft  |     6      |   106.0   |   115.0   |   110.0    |     120.0      |    85.0    |     110.0      |    87.0    |      93.0      |
| PGX One Length |   PW  |   Srixon Softfeel    |     14     |   105.0   |   122.0   |   111.0    |     140.0      |    78.0    |      83.0      |    86.0    |     103.0      |
| PGX One Length |   PW  | Titlelist ProV1x RCT |     7      |   105.0   |   119.0   |   109.0    |     124.0      |    80.0    |      85.0      |    86.0    |      95.0      |
| PGX One Length |   I9  |    Callaway Reva     |     17     |   127.0   |   140.0   |   133.0    |     146.0      |    79.0    |      83.0      |    97.0    |     105.0      |
| PGX One Length |   I8  | Titlelist ProV1 RCT  |     17     |   132.0   |   144.0   |   140.0    |     152.0      |    79.0    |      84.0      |   100.0    |     106.0      |
| PGX One Length |   I8  |  Callaway SuperSoft  |     10     |   131.0   |   145.0   |   138.0    |     152.0      |    80.0    |      82.0      |   100.0    |     107.0      |
| PGX One Length |   I8  |  Titlelist TruFeel   |     4      |   121.0   |   130.0   |   130.0    |     138.0      |    75.0    |      78.0      |    94.0    |      99.0      |
| PGX One Length |   I7  |   Maxifli SoftFli    |     9      |   134.0   |   154.0   |   144.0    |     162.0      |    78.0    |      85.0      |   100.0    |     111.0      |
| PGX One Length |   I7  | Titlelist ProV1x RCT |     6      |   132.0   |   140.0   |   145.0    |     149.0      |    79.0    |      80.0      |    98.0    |     103.0      |
| PGX One Length |   I7  |  Callaway Hex Soft   |     11     |   129.0   |   144.0   |   135.0    |     152.0      |    81.0    |      83.0      |    98.0    |     107.0      |
| PGX One Length |   I7  |      Vice Tour       |     7      |   129.0   |   144.0   |   136.0    |     152.0      |    79.0    |      81.0      |    97.0    |     106.0      |
| PGX One Length |   I6  |  Callaway SuperSoft  |     4      |   166.0   |   170.0   |   176.0    |     180.0      |    83.0    |      85.0      |   116.0    |     118.0      |
| PGX One Length |   I6  |       Vice Pro       |     6      |   157.0   |   163.0   |   168.0    |     172.0      |    79.0    |      81.0      |   110.0    |     114.0      |
| PGX One Length |   I6  | Titlelist ProV1x RCT |     3      |   142.0   |   151.0   |   151.0    |     161.0      |    80.0    |      81.0      |   105.0    |     110.0      |
| PGX One Length |   I5  |  Callaway Hex Soft   |     21     |   160.0   |   177.0   |   173.0    |     192.0      |    82.0    |      86.0      |   111.0    |     118.0      |
| PGX One Length |   I5  |   Maxifli SoftFli    |     14     |   157.0   |   172.0   |   170.0    |     186.0      |    82.0    |      86.0      |   110.0    |     116.0      |
| PGX One Length |   I5  |  Callaway Hex Tour   |     5      |   155.0   |   163.0   |   168.0    |     176.0      |    81.0    |      84.0      |   109.0    |     113.0      |
| PGX One Length |   I4  |       Vice Pro       |     7      |   170.0   |   179.0   |   184.0    |     191.0      |    81.0    |      83.0      |   116.0    |     120.0      |
| PGX One Length |   I4  |  Callaway Hex Soft   |     5      |   167.0   |   177.0   |   181.0    |     195.0      |    84.0    |      86.0      |   115.0    |     118.0      |
| PGX One Length |   I4  |   Maxifli SoftFli    |     3      |   163.0   |   168.0   |   178.0    |     182.0      |    85.0    |      86.0      |   113.0    |     115.0      |
| PGX One Length |   I4  | Titlelist ProV1 RCT  |     9      |   158.0   |   168.0   |   172.0    |     186.0      |    82.0    |      85.0      |   110.0    |     114.0      |
| PGX One Length |   I4  |  Titlelist TruFeel   |     9      |   158.0   |   173.0   |   170.0    |     185.0      |    82.0    |      84.0      |   112.0    |     119.0      |
| PGX One Length |   I3  |   Maxifli SoftFli    |     1      |   170.0   |   170.0   |   182.0    |     182.0      |    86.0    |      86.0      |   117.0    |     117.0      |
| PGX One Length |   I3  |    Callaway Reva     |     3      |   169.0   |   175.0   |   180.0    |     189.0      |    83.0    |      85.0      |   115.0    |     117.0      |
| PGX One Length |   GW  |   Maxifli SoftFli    |     12     |    91.0   |   108.0   |    95.0    |     113.0      |    76.0    |      79.0      |    78.0    |      87.0      |
| PGX One Length |   GW  |    Bridgestone e6    |     6      |    87.0   |    91.0   |    91.0    |      98.0      |    77.0    |      81.0      |    75.0    |      79.0      |
+----------------+-------+----------------------+------------+-----------+-----------+------------+----------------+------------+----------------+------------+----------------+
