+-----------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                            Carry_Max                                                                            |
+----------------+-------+----------------------+-----------+----------------+----------------+----------------+----------------+---------------------+-----------+
|      Mfg       |  Club |         Ball         | Avg Carry | Avg Total Dist | Max Total Dist | Max Club Speed | Max Ball Speed |     PracticeDtTm    | Max Carry |
+----------------+-------+----------------------+-----------+----------------+----------------+----------------+----------------+---------------------+-----------+
|    Callaway    | DR-NS |       Vice Pro       |   190.0   |     207.0      |     234.0      |      92.3      |     132.8      | 2023-03-05 15:50:05 |   212.0   |
|    Callaway    | DR-NS |  Callaway SuperSoft  |   189.0   |     206.0      |     231.0      |      95.5      |     133.8      | 2023-03-05 16:00:49 |   209.0   |
|    Callaway    | DR-NS |  Callaway Hex Soft   |   188.0   |     202.0      |     216.0      |      93.4      |     131.0      | 2023-03-05 12:44:33 |   201.0   |
|    Callaway    | DR-NS | Titlelist ProV1 RCT  |   178.0   |     191.0      |     218.0      |     103.3      |     129.4      | 2023-03-05 13:56:13 |   200.0   |
| PGX One Length |   I4  |       Vice Pro       |   170.0   |     184.0      |     191.0      |      82.7      |     119.8      | 2023-02-11 19:18:50 |   179.0   |
| PGX One Length |   I5  |  Callaway Hex Soft   |   160.0   |     173.0      |     192.0      |      85.8      |     117.5      | 2023-02-03 17:23:24 |   177.0   |
| PGX One Length |   I4  |  Callaway Hex Soft   |   167.0   |     181.0      |     195.0      |      86.2      |     118.3      | 2023-02-11 19:12:23 |   177.0   |
| PGX One Length |   I3  |    Callaway Reva     |   169.0   |     180.0      |     189.0      |      85.2      |     116.8      | 2023-02-05 18:48:45 |   175.0   |
| PGX One Length |   I4  |  Titlelist TruFeel   |   158.0   |     170.0      |     185.0      |      84.0      |     118.6      | 2023-02-27 21:14:23 |   173.0   |
| PGX One Length |   I5  |   Maxifli SoftFli    |   157.0   |     170.0      |     186.0      |      85.8      |     115.7      | 2023-02-03 17:17:29 |   172.0   |
|     Cobra      |   I6  |  Callaway SuperSoft  |   160.0   |     170.0      |     183.0      |      86.5      |     117.1      | 2023-02-12 13:13:43 |   172.0   |
| PGX One Length |   I3  |   Maxifli SoftFli    |   170.0   |     182.0      |     182.0      |      86.0      |     116.8      | 2023-02-05 18:41:53 |   170.0   |
| PGX One Length |   I6  |  Callaway SuperSoft  |   166.0   |     176.0      |     180.0      |      84.9      |     118.3      | 2023-02-12 13:17:29 |   170.0   |
| PGX One Length |   I4  | Titlelist ProV1 RCT  |   158.0   |     172.0      |     186.0      |      85.1      |     114.2      | 2023-02-26 20:54:08 |   168.0   |
| PGX One Length |   I4  |   Maxifli SoftFli    |   163.0   |     178.0      |     182.0      |      86.1      |     115.4      | 2023-02-11 19:24:24 |   168.0   |
|   Giga Golf    |   I6  |   Maxifli SoftFli    |   146.0   |     155.0      |     179.0      |      84.3      |     113.1      | 2023-02-09 20:07:54 |   168.0   |
|    One Iron    |   I4  | Titlelist ProV1 RCT  |   158.0   |     174.0      |     180.0      |      85.4      |     112.6      | 2023-02-28 21:03:18 |   166.0   |
|   Giga Golf    |   I5  |   Maxifli SoftFli    |   156.0   |     168.0      |     176.0      |      85.6      |     113.0      | 2023-02-08 20:30:39 |   164.0   |
| PGX One Length |   I5  |  Callaway Hex Tour   |   155.0   |     168.0      |     176.0      |      83.5      |     112.5      | 2023-02-03 17:11:29 |   163.0   |
| PGX One Length |   I6  |       Vice Pro       |   157.0   |     168.0      |     172.0      |      81.1      |     113.5      | 2023-02-01 18:35:50 |   163.0   |
|    One Iron    |   I4  |   Maxifli SoftFli    |   157.0   |     166.0      |     168.0      |      86.4      |     113.7      | 2023-02-28 21:12:52 |   159.0   |
| PGX One Length |   I7  |   Maxifli SoftFli    |   134.0   |     144.0      |     162.0      |      85.1      |     111.0      | 2023-02-09 19:58:18 |   154.0   |
|   Giga Golf    |   I7  |   Maxifli SoftFli    |   141.0   |     150.0      |     161.0      |      82.8      |     111.8      | 2023-02-08 20:23:56 |   153.0   |
|   Giga Golf    |   GW  |   Maxifli SoftFli    |   146.0   |     150.0      |     154.0      |      78.2      |     107.3      | 2023-02-08 20:23:56 |   151.0   |
|     Cobra      |   I6  |  Callaway Hex Soft   |   145.0   |     155.0      |     161.0      |      84.9      |     109.6      | 2023-02-12 13:03:20 |   151.0   |
| PGX One Length |   I6  | Titlelist ProV1x RCT |   142.0   |     151.0      |     161.0      |      81.1      |     109.7      | 2023-02-09 20:16:01 |   151.0   |
| PGX One Length |   I8  |  Callaway SuperSoft  |   131.0   |     138.0      |     152.0      |      81.5      |     106.6      | 2023-02-26 16:08:15 |   145.0   |
| PGX One Length |   I8  | Titlelist ProV1 RCT  |   132.0   |     140.0      |     152.0      |      83.6      |     105.7      | 2023-02-26 15:59:17 |   144.0   |
|     Cobra      |   I7  |  Callaway Hex Soft   |   129.0   |     135.0      |     152.0      |      83.1      |     107.0      | 2023-01-28 20:07:57 |   144.0   |
| PGX One Length |   I7  |  Callaway Hex Soft   |   129.0   |     135.0      |     152.0      |      83.1      |     107.0      | 2023-01-29 19:30:16 |   144.0   |
| PGX One Length |   I7  |      Vice Tour       |   129.0   |     136.0      |     152.0      |      80.8      |     105.5      | 2023-01-28 19:59:42 |   144.0   |
|   Giga Golf    |   I7  | Titlelist ProV1x RCT |   129.0   |     144.0      |     153.0      |      79.7      |     102.3      | 2023-02-09 17:56:42 |   141.0   |
| PGX One Length |   I7  | Titlelist ProV1x RCT |   132.0   |     145.0      |     149.0      |      80.2      |     103.2      | 2023-02-09 18:04:30 |   140.0   |
| PGX One Length |   I9  |    Callaway Reva     |   127.0   |     133.0      |     146.0      |      82.7      |     104.7      | 2023-02-11 15:02:59 |   140.0   |
|    One Iron    |   I6  |       Vice Pro       |   135.0   |     146.0      |     151.0      |      78.5      |     101.6      | 2023-02-01 18:29:41 |   139.0   |
|     Cobra      |   I8  |  Titlelist TruFeel   |   125.0   |     131.0      |     142.0      |      80.6      |     104.5      | 2023-02-27 20:48:09 |   136.0   |
| PGX One Length |   I8  |  Titlelist TruFeel   |   121.0   |     130.0      |     138.0      |      78.3      |      99.4      | 2023-02-27 20:34:31 |   130.0   |
|     Cobra      |   I9  |  Callaway SuperSoft  |   122.0   |     126.0      |     134.0      |      83.1      |     100.4      | 2023-02-12 13:08:30 |   129.0   |
| PGX One Length |   PW  |  Callaway Hex Soft   |   106.0   |     113.0      |     136.0      |      83.4      |      97.7      | 2023-02-11 18:59:46 |   126.0   |
| PGX One Length |   PW  |   Srixon Softfeel    |   105.0   |     111.0      |     140.0      |      82.6      |     103.0      | 2023-02-11 18:52:21 |   122.0   |
| PGX One Length |   PW  | Titlelist ProV1x RCT |   105.0   |     109.0      |     124.0      |      85.3      |      95.3      | 2023-02-01 18:57:28 |   119.0   |
| PGX One Length |   PW  |       Vice Pro       |   112.0   |     122.0      |     127.0      |      80.3      |      93.1      | 2023-02-01 18:41:31 |   118.0   |
| PGX One Length |   PW  |  Callaway SuperSoft  |   106.0   |     110.0      |     120.0      |     109.8      |      93.0      | 2023-02-01 18:51:08 |   115.0   |
| PGX One Length |   PW  |   Maxifli SoftFli    |   109.0   |     113.0      |     120.0      |      79.9      |      91.0      | 2023-02-01 18:45:34 |   115.0   |
| PGX One Length |   GW  |   Maxifli SoftFli    |    91.0   |      95.0      |     113.0      |      78.8      |      87.2      | 2023-02-08 19:53:56 |   108.0   |
| PGX One Length |   SW  |  Titlelist TruFeel   |    80.0   |      85.0      |     106.0      |      91.3      |      77.5      | 2023-02-28 21:23:36 |    93.0   |
| PGX One Length |   GW  |    Bridgestone e6    |    87.0   |      91.0      |      98.0      |      80.6      |      78.6      | 2023-02-01 19:11:49 |    91.0   |
+----------------+-------+----------------------+-----------+----------------+----------------+----------------+----------------+---------------------+-----------+
