+----------------+-------+--------------------+-----------+-----------+----------------+----------------+----------------+----------------+
|      Mfg       |  Club |        Ball        | Avg Carry | Max Carry | Avg Total Dist | Max Total Dist | Max Club Speed | Max Ball Speed |
+----------------+-------+--------------------+-----------+-----------+----------------+----------------+----------------+----------------+
|    Callaway    | DR-NS | Callaway SuperSoft |   186.0   |   212.0   |     201.0      |     234.0      |     103.3      |     133.8      |
|     Cobra      |   I6  | Callaway SuperSoft |   150.0   |   172.0   |     160.0      |     183.0      |      86.5      |     117.1      |
|     Cobra      |   I7  | Callaway Hex Soft  |   129.0   |   144.0   |     135.0      |     152.0      |      83.1      |     107.0      |
|     Cobra      |   I8  | Titlelist TruFeel  |   127.0   |   141.0   |     133.0      |     148.0      |      80.6      |     104.9      |
|     Cobra      |   I9  | Callaway SuperSoft |   122.0   |   129.0   |     126.0      |     134.0      |      83.1      |     100.4      |
|   Giga Golf    |   GW  |  Maxifli SoftFli   |   146.0   |   151.0   |     150.0      |     154.0      |      78.2      |     107.3      |
|   Giga Golf    |   I5  |  Maxifli SoftFli   |   156.0   |   164.0   |     168.0      |     176.0      |      85.6      |     113.0      |
|   Giga Golf    |   I6  |  Maxifli SoftFli   |   146.0   |   168.0   |     155.0      |     179.0      |      84.3      |     113.1      |
|   Giga Golf    |   I7  |  Maxifli SoftFli   |   134.0   |   153.0   |     146.0      |     161.0      |      82.8      |     111.8      |
|    One Iron    |   I4  |  Maxifli SoftFli   |   157.0   |   166.0   |     170.0      |     180.0      |      86.4      |     113.7      |
|    One Iron    |   I6  |      Vice Pro      |   135.0   |   139.0   |     146.0      |     151.0      |      78.5      |     101.6      |
|    One Iron    |   I7  |  Maxifli SoftFli   |   126.0   |   148.0   |     135.0      |     160.0      |      83.2      |     105.1      |
| PGX One Length |   GW  |  Maxifli SoftFli   |    89.0   |   108.0   |      94.0      |     113.0      |      80.6      |      87.2      |
| PGX One Length |   I3  |  Maxifli SoftFli   |   169.0   |   175.0   |     181.0      |     189.0      |      86.0      |     116.8      |
| PGX One Length |   I4  |      Vice Pro      |   162.0   |   179.0   |     176.0      |     195.0      |      86.2      |     119.8      |
| PGX One Length |   I5  | Callaway Hex Soft  |   158.0   |   177.0   |     171.0      |     192.0      |      85.8      |     117.5      |
| PGX One Length |   I6  | Callaway SuperSoft |   157.0   |   170.0   |     166.0      |     180.0      |      84.9      |     118.3      |
| PGX One Length |   I7  |  Maxifli SoftFli   |   130.0   |   154.0   |     138.0      |     162.0      |      85.1      |     111.0      |
| PGX One Length |   I8  | Callaway SuperSoft |   131.0   |   145.0   |     138.0      |     152.0      |      83.6      |     106.6      |
| PGX One Length |   I9  |   Callaway Reva    |   127.0   |   140.0   |     133.0      |     146.0      |      82.7      |     104.7      |
| PGX One Length |   PW  |  Srixon Softfeel   |   106.0   |   126.0   |     112.0      |     140.0      |     109.8      |     103.0      |
| PGX One Length |   SW  | Titlelist TruFeel  |    80.0   |    93.0   |      85.0      |     106.0      |      91.3      |      77.5      |
+----------------+-------+--------------------+-----------+-----------+----------------+----------------+----------------+----------------+
