+----------------+-------+-------+-----------+------------+----------------+
|      Mfg       |  Club | Carry | Max Carry | Total Dist | Max Total Dist |
+----------------+-------+-------+-----------+------------+----------------+
|    Callaway    | DR-NS | 186.0 |   212.0   |   201.0    |     234.0      |
|     Cobra      |   I9  | 122.0 |   129.0   |   126.0    |     134.0      |
|     Cobra      |   I8  | 127.0 |   141.0   |   133.0    |     148.0      |
|     Cobra      |   I7  | 129.0 |   144.0   |   135.0    |     152.0      |
|     Cobra      |   I6  | 150.0 |   172.0   |   160.0    |     183.0      |
|   Giga Golf    |   I7  | 134.0 |   153.0   |   146.0    |     161.0      |
|   Giga Golf    |   I6  | 146.0 |   168.0   |   155.0    |     179.0      |
|   Giga Golf    |   I5  | 156.0 |   164.0   |   168.0    |     176.0      |
|   Giga Golf    |   GW  | 146.0 |   151.0   |   150.0    |     154.0      |
|    One Iron    |   I7  | 126.0 |   148.0   |   135.0    |     160.0      |
|    One Iron    |   I6  | 135.0 |   139.0   |   146.0    |     151.0      |
|    One Iron    |   I4  | 157.0 |   166.0   |   170.0    |     180.0      |
| PGX One Length |   SW  |  80.0 |    93.0   |    85.0    |     106.0      |
| PGX One Length |   PW  | 106.0 |   126.0   |   112.0    |     140.0      |
| PGX One Length |   I9  | 127.0 |   140.0   |   133.0    |     146.0      |
| PGX One Length |   I8  | 131.0 |   145.0   |   138.0    |     152.0      |
| PGX One Length |   I7  | 130.0 |   154.0   |   138.0    |     162.0      |
| PGX One Length |   I6  | 157.0 |   170.0   |   166.0    |     180.0      |
| PGX One Length |   I5  | 158.0 |   177.0   |   171.0    |     192.0      |
| PGX One Length |   I4  | 162.0 |   179.0   |   176.0    |     195.0      |
| PGX One Length |   I3  | 169.0 |   175.0   |   181.0    |     189.0      |
| PGX One Length |   GW  |  89.0 |   108.0   |    94.0    |     113.0      |
+----------------+-------+-------+-----------+------------+----------------+
